,CommitID,Date,Dockerfiles,Status
0,4c2804fa4365f62c3b6009d3496661542e4d446a,Sun Jul 5 13:10:53 2020 +0500,"2.1.0/Dockerfile  2.2.0/Dockerfile
","R
"
1,664a7f4730f58be00fd7fe0526d2c13180107c6f,Sun Dec 1 11:51:00 2019 +0500,"1.1.3/Dockerfile
1.2.3/Dockerfile
2.1.0/Dockerfile
","M
M
M
"
2,0d8a6404d602feb6afd379d3816b9a6549b463a1,Sun Nov 10 13:44:41 2019 +0500,"1.1.3/Dockerfile
1.2.3/Dockerfile
2.0.0/Dockerfile  2.1.0/Dockerfile
","M
M
R
"
3,aff07c91ba4d58a2402580765097df63d645ced2,Sun Nov 10 13:32:28 2019 +0500,,
4,f98a59dfc28739e8aa0b9ede44f069ef21e077a4,Sun Aug 25 09:07:35 2019 +0500,,
5,053d2fc14351cfd7dd61418b12d5effe1cee69a0,Sat Aug 24 17:24:57 2019 +0300,,
6,54b33d6f426eec7cf75a6a0864d4c5e2d912edf7,Sat Aug 24 12:45:43 2019 +0500,"1.1.3/Dockerfile
","M
"
7,8e8675415d3a375ad28a2219cee4dfe3ba4e14a1,Sun Jul 28 12:13:16 2019 +0500,"1.2.2/Dockerfile  1.2.3/Dockerfile
","R
"
8,eb629a8dee9d4c1f8f57487cc6c261099fc31f4b,Thu Jul 25 15:57:41 2019 +0300,"1.1.3/Dockerfile
1.2.2/Dockerfile
2.0.0/Dockerfile
","M
M
M
"
9,2cdf3784eb167e112e21deca4d4be91eb997b672,Sun Jun 16 17:03:39 2019 +0500,"1.1.3/Dockerfile
1.2.2/Dockerfile
1.0.6/Dockerfile  2.0.0/Dockerfile
","M
M
R
"
10,4e9cdba376be0143ba0f041a1099bb7912b145ef,Sun Jun 10 09:51:56 2018 +0500,"1.1.2/Dockerfile  1.1.3/Dockerfile
1.2.1/Dockerfile  1.2.2/Dockerfile
","R
R
"
11,3a142187124c366ab53da525bd05eec790829a20,Sun Mar 18 12:09:17 2018 +0500,,
12,9b5187aea15c0e21d082b1f041cdc2f7a892dc26,Fri Feb 23 17:36:23 2018 +0500,"1.2.0/Dockerfile  1.2.1/Dockerfile
","R
"
13,9986213e09356e2d5230e6af9338052ce858b224,Sun Feb 18 11:26:56 2018 +0500,"0.10.2/Dockerfile
0.9.7/Dockerfile
","D
D
"
14,a817acd755dc5f012787a1c5696e25231255c183,Sun Feb 18 11:20:17 2018 +0500,"1.2.0/Dockerfile
","A
"
15,e9741ab0aad4d4416823b30ebd736e76f5426b93,Sun Feb 18 11:14:47 2018 +0500,"1.1.1/Dockerfile  1.1.2/Dockerfile
","R
"
16,ac264ba32747fc9f73e093a8abb49e7254cb7ea1,Sun Feb 18 11:07:37 2018 +0500,"1.0.5/Dockerfile  1.0.6/Dockerfile
","R
"
17,c8045b70e88e28e1298e1c1b86796c42ad03fc1e,Sun Oct 15 11:22:10 2017 +0500,,
18,60316c9351be7dedd39cbcc308dc1fe5c00e44a5,Sat Sep 30 09:45:33 2017 +0500,"1.0.3/Dockerfile  1.0.5/Dockerfile
","R
"
19,a188ee34107fc193fe4c7a4b75a30c9a23991bf1,Sat Sep 30 09:22:08 2017 +0500,"0.10.2/Dockerfile
0.9.7/Dockerfile
1.0.3/Dockerfile
1.1.1/Dockerfile
","M
M
M
M
"
20,6e94e11977556f0f4a99633b1f835f13d20c1e30,Sat Aug 12 14:24:17 2017 +0500,,
21,35207c57594856c661adcea5063584eb22534ddb,Thu Aug 10 09:59:15 2017 +0500,"0.10.2/Dockerfile
0.9.7/Dockerfile
1.0.3/Dockerfile
1.1.1/Dockerfile
","M
M
M
M
"
22,f24ff085a875060ac21f68760bc5a99cd65eb5fb,Thu Aug 10 09:51:03 2017 +0500,"0.10.2/Dockerfile
0.9.7/Dockerfile
1.0.3/Dockerfile
1.1.0/Dockerfile  1.1.1/Dockerfile
","M
M
M
R
"
23,e20c50c9704ed64765ba80e6964df4c0c189be3e,Sat Apr 1 18:46:10 2017 +0500,"1.1.0/Dockerfile
","A
"
24,361ca727cb87d3c10bc8bc4abd225c2b93132811,Sun Mar 26 22:04:09 2017 +0500,,
25,9c53ecc1f5ef88c9745373a6fb5e9c7f2d0cc2eb,Sun Feb 19 14:06:38 2017 +0500,"0.10.2/Dockerfile
0.9.7/Dockerfile
1.0.2/Dockerfile  1.0.3/Dockerfile
","M
M
R
"
26,afbd8001631ce266610db791969f925131b45857,Sun Oct 16 23:09:58 2016 +0500,"0.10.2/Dockerfile
0.9.7/Dockerfile
1.0.2/Dockerfile
","M
M
M
"
27,79535cebc4171966fdbef0c2da96a2ebea004717,Thu Oct 13 07:33:57 2016 +0500,,
28,93746fa3936afb3751565860632d3e49d53e9b0e,Wed Oct 12 12:48:52 2016 +0500,,
29,08c39b25d7435d39ced74a4aaa1decc094cf5f1d,Tue Oct 11 11:25:05 2016 +0500,,
30,f38117c7116512d45f1af04b514e9971e7214de8,Sat Oct 8 22:57:20 2016 +0500,,
31,cf8f995e7a3d22d7f679ebf13c4c4e469c1af702,Wed Oct 5 00:29:56 2016 +0500,,
32,a2314c5aa16b001f8292a5dfb77103f4b8f64098,Wed Oct 5 00:13:12 2016 +0500,"0.10.2/Dockerfile
0.9.7/Dockerfile
1.0.2/Dockerfile
","M
M
M
"
33,79d24a414367e801c461d8f960e062ba20f65015,Fri Sep 16 14:50:16 2016 +0500,"0.10.1/Dockerfile  0.10.2/Dockerfile
0.9.7/Dockerfile
1.0.2/Dockerfile
","R
M
M
"
34,fda299c8daa8474b87c7ece7af7a85bb662aeebf,Fri Sep 9 12:57:41 2016 +0500,"0.9.6/Dockerfile  0.9.7/Dockerfile
","R
"
35,5fb2661adf5891ac5ccf26f927c73a7bc4b89187,Mon Sep 5 21:20:18 2016 +0500,"0.10.1/Dockerfile
0.9.6/Dockerfile
1.0.2/Dockerfile
","M
M
M
"
36,e080de52019a37509fc3ce403612c11933e114de,Thu Sep 1 22:23:14 2016 +0500,,
37,fa7aa81730973e7ed7ce14b7ba058205cb5ad05c,Thu Sep 1 21:54:59 2016 +0500,,
38,70babde2707ac505838145481e0adfbae8609bd3,Mon Aug 15 18:48:14 2016 +0500,"1.0.1/Dockerfile  1.0.2/Dockerfile
","R
"
39,0f2664748a33162d95825c5f9ecb8444f61682b4,Tue May 24 23:41:07 2016 +0500,"0.10.1/Dockerfile
0.9.6/Dockerfile
1.0.1/Dockerfile
","M
M
M
"
40,ef3f4283761f5ec1b47cd6a05039b3ad7d5b06d4,Sat May 21 21:58:20 2016 +0500,,
41,eb42867e8e4f0d09b31c72d51dc31fcdcfac414e,Sat May 21 21:47:59 2016 +0500,"0.10.1/Dockerfile
0.9.6/Dockerfile
1.0.1/Dockerfile
","M
M
M
"
42,d71c8addfcc86a38934349c46b28b806ea4c1c42,Fri May 6 10:59:57 2016 +0500,"0.10.1/Dockerfile
0.9.6/Dockerfile
1.0.1/Dockerfile
","M
M
M
"
43,f2d95cf9439795b934fd28f0f8d3d5615fcfdeb2,Fri May 6 01:53:56 2016 +0500,,
44,d57881285dd264f2e194dacc120004c0cb4476d2,Fri May 6 01:25:48 2016 +0500,"0.10.0/Dockerfile  0.10.1/Dockerfile
0.9.6/Dockerfile
1.0.0/Dockerfile  1.0.1/Dockerfile
","R
M
R
"
45,0880827024f18089fd9bcccf27f38001af0f183d,Tue May 3 22:46:49 2016 +0500,,
46,cd5f55f6d7eff3e70c9fbc88ddcd526fab51cd5d,Mon May 2 17:57:14 2016 +0500,,
47,d050a2bd2f4b0aecfa007968e1d54448b15fa94d,Mon May 2 00:01:45 2016 +0500,"0.10.0/Dockerfile
0.9.6/Dockerfile
1.0.0/Dockerfile
","M
M
M
"
