,CommitID,Date,Dockerfiles,Status
0,d7e73876549d205898b1922bcbf69e74ef11c288,Wed Feb 6 22:49:02 2019 +0530,,
1,a30e3b100f342c4ae4dae5d4df0907f21c2c5a29,Thu Jan 24 14:16:33 2019 +0900,"0.12/Dockerfile
","M
"
2,2ef31bb7962664c80ad0d435e37ae221ed3ae6ce,Wed Jan 23 22:35:59 2019 +0900,"0.12/Dockerfile
","M
"
3,7302c73121942848db30b0a957e098046202e97b,Sat Dec 29 12:02:57 2018 +0900,"0.12/Dockerfile
","A
"
4,00e197d889426695446baec4e034b5ddbb15bcb3,Mon Feb 19 13:59:04 2018 -0800,,
5,512f65d77c01541b63db8d5585b55d23fdc86302,Thu Jan 25 17:00:24 2018 -0800,"0.11/Dockerfile
","A
"
6,e1f81dfe3e8fac5588e12d2b880166d1743dbecd,Wed Feb 22 18:51:13 2017 +0530,,
7,cf9ee8fa0ac1ba6f1fe4a4aa24a04f877ca0b5af,Wed Feb 22 18:50:02 2017 +0530,"0.10/Dockerfile
0.9/Dockerfile
","A
M
"
8,043fbfdce57c6d0cca1ada397d00c9436af3f109,Thu Jan 12 18:39:45 2017 +0530,"0.9/Dockerfile
","M
"
9,9446a43b4bbc03626eac22d43d381b610e47a3e2,Thu Jan 12 18:39:30 2017 +0530,"0.9/Dockerfile
","M
"
10,d322572f7dd6ea468a14a4d832fbec26f152c71e,Sat Jan 23 05:30:30 2016 +0530,,
11,23d022c7b84399794349bf4ba7f5568020911f1d,Tue Nov 3 16:20:15 2015 +0100,"0.9/Dockerfile
","M
"
12,61c3478ab828d3e610f192b442ac2a7221749c47,Sun Jan 4 20:24:42 2015 +0100,"0.9/Dockerfile
","M
"
13,a44afdab68eaf2a930e46809fac1c0a2d4355908,Thu Dec 4 23:55:42 2014 +0100,"0.9/Dockerfile
","M
"
14,e9e987cd403b994e2fd727ad5702410f00770b12,Sun Nov 30 19:13:31 2014 +0100,"0.9/Dockerfile
","A
"
