,CommitID,Date,Dockerfiles,Status
0,78cbcaa2c90ce4c975299e7cbfdce146a7bab081,Mon Aug 24 23:38:31 2020 -0700,"community/couchbase-server/6.6.0/Dockerfile
","A
"
1,f0ab8e5c7fc1091465097dc231cd5586f3eb7355,Mon Aug 10 17:17:11 2020 -0700,"enterprise/couchbase-server/6.6.0/Dockerfile
","A
"
2,b75dcc66ec17d0bf77df5ed8445466c11ea7791a,Mon Jun 29 13:09:49 2020 -0700,"generate/templates/couchbase-server/Dockerfile.template
","M
"
3,8bb79913dca90bfa7f1497e963e972832ff397b7,Fri May 22 18:45:34 2020 -0700,"generate/templates/couchbase-server/Dockerfile.template
","M
"
4,32160046747dcd466327b6edd6255440d569a2b1,Wed May 13 17:04:33 2020 -0700,"enterprise/sync-gateway/2.7.3/Dockerfile
","A
"
5,f46e936a5f53abe975ecbb685e3fce0c5f38fcc4,Wed May 13 17:04:20 2020 -0700,"community/sync-gateway/2.7.3/Dockerfile
","A
"
6,f17df7695bbd6efb756b90b683bd5f34d08b5708,Mon Apr 27 16:06:21 2020 -0700,"community/couchbase-server/6.5.1/Dockerfile
","A
"
7,46de65611374973ecf7ec28b0c582a8175d3bda0,Thu Apr 23 15:39:05 2020 -0700,"enterprise/couchbase-server/6.5.1/Dockerfile
","A
"
8,35d6c12c191fab0549723942fbaa0dd0fb26c41a,Mon Mar 23 14:41:45 2020 -0700,"enterprise/sync-gateway/2.7.2/Dockerfile
","A
"
9,adc3727cb9162f96a463dbcb92998dd1d7af468a,Mon Mar 23 14:41:33 2020 -0700,"community/sync-gateway/2.7.2/Dockerfile
","A
"
10,1f0db4001167a2d2e2a6a53483e50d9375df1ce4,Fri Mar 6 00:09:45 2020 -0800,"community/couchbase-server/6.5.0/Dockerfile
","A
"
11,8b5c7d39f8e66afaa907156d9dbdaf3103b300ad,Thu Feb 27 15:37:31 2020 -0800,"enterprise/sync-gateway/2.7.1/Dockerfile
","A
"
12,7488b7d3bbf4848a0fe916a3b0886cb0e1835d54,Thu Feb 27 15:37:18 2020 -0800,"community/sync-gateway/2.7.1/Dockerfile
","A
"
13,06229f9e31b76eff7596e76d5894898744fdcb52,Thu Feb 13 08:00:15 2020 -0800,"enterprise/couchbase-server/6.0.4/Dockerfile
","A
"
14,3775225f6eb1e6e9b92bb51ac3c0b86e6989fe9e,Tue Jan 21 09:47:17 2020 +0000,"enterprise/couchbase-server/6.5.0/Dockerfile
","A
"
15,44e46dc98045cb95a13aacb1cfc67d42ad0656ed,Thu Jan 16 13:17:06 2020 -0800,"enterprise/sync-gateway/2.7.0/Dockerfile
","A
"
16,61568a09201c8ec877cc85766e088e9e9c35fe21,Thu Jan 16 13:16:50 2020 -0800,"community/sync-gateway/2.7.0/Dockerfile
","A
"
17,f730f80ac31e436e818f5abedab7eb9a8a6c1c3f,Fri Nov 15 17:12:29 2019 -0800,"enterprise/couchbase-server/5.5.6/Dockerfile
","A
"
18,2c51e6311b4b94f0470dc13bba83153dd9265dff,Fri Oct 11 16:35:06 2019 -0700,"enterprise/sync-gateway/2.6.1/Dockerfile
","A
"
19,9c7552d6c7dd123581f4f4198b0dd2d8929aec2b,Fri Oct 11 16:34:45 2019 -0700,"community/sync-gateway/2.6.1/Dockerfile
","A
"
20,201af2d1fd4988d23d980cef5b91763ee5fdc9b7,Wed Oct 9 22:45:55 2019 -0700,"enterprise/couchbase-server/6.0.3/Dockerfile
","A
"
21,a6ea1abaa6948c26653fc97334035533b215b619,Tue Oct 1 17:29:32 2019 -0700,"enterprise/couchbase-server/6.5.0-beta2/Dockerfile
","A
"
22,92eee0673c1918e58926307e1e0780328e60ce3a,Mon Aug 26 17:20:13 2019 -0700,"community/sync-gateway/2.6.0/Dockerfile
enterprise/sync-gateway/2.6.0/Dockerfile
","A
A
"
23,9e1411558732561359499199c0fec2104bb0ccda,Wed Aug 7 11:27:02 2019 -0700,"enterprise/couchbase-server/6.5.0-beta/Dockerfile
","A
"
