,CommitID,Date,Dockerfiles,Status
0,d21f6b82d566ad6111ff52028e7dbd3f9c2f1fcb,Fri Sep 4 03:27:09 2020 +0000,"8.8/apache-buster/Dockerfile
8.8/fpm-alpine3.12/Dockerfile
8.8/fpm-buster/Dockerfile
","M
M
M
"
1,0786bbd1aee80f61596978c6b2c5c645118466b4,Fri Sep 4 03:27:09 2020 +0000,"8.9/apache-buster/Dockerfile
8.9/fpm-alpine3.12/Dockerfile
8.9/fpm-buster/Dockerfile
","M
M
M
"
2,21a961673ec84ea82887b27f5004bf0bba10fd46,Thu Sep 3 21:27:12 2020 +0000,"9.0/apache-buster/Dockerfile
9.0/fpm-alpine3.12/Dockerfile
9.0/fpm-buster/Dockerfile
","M
M
M
"
3,19d45c90bac9302522c570d851da54f884ded012,Wed Sep 2 15:27:08 2020 +0000,"8.9/apache-buster/Dockerfile
8.9/fpm-alpine3.12/Dockerfile
8.9/fpm-buster/Dockerfile
","M
M
M
"
4,2cffe35d85dea0bd3abad4e053d98ed9bb1b6125,Wed Sep 2 15:27:08 2020 +0000,"9.0/apache-buster/Dockerfile
9.0/fpm-alpine3.12/Dockerfile
9.0/fpm-buster/Dockerfile
","M
M
M
"
5,3bdf3d6a364e426fa5111df2d99287cb79019b48,Wed Aug 12 09:57:34 2020 -0700,,
6,4e4d23ee86e88a0e6e88ec28837402ad1c8453fa,Wed Aug 12 09:49:12 2020 -0400,"8.8/apache-buster/Dockerfile
8.8/fpm-alpine3.12/Dockerfile
8.8/fpm-buster/Dockerfile
8.9/apache-buster/Dockerfile
8.9/fpm-alpine3.12/Dockerfile
8.9/fpm-buster/Dockerfile
9.0/apache-buster/Dockerfile
9.0/fpm-alpine3.12/Dockerfile
9.0/fpm-buster/Dockerfile
","M
M
M
M
M
M
M
M
M
"
7,a792d2a7e9548d5446e5ab34a4a105529bb39a96,Tue Aug 11 22:02:39 2020 -0400,"Dockerfile-alpine.template
Dockerfile-debian.template
","M
M
"
8,8620ae00b4c2c56d57c195aee3fb905b6bfdaf38,Thu Aug 6 13:40:16 2020 -0700,,
9,201b7c008434fc0cd187270c89804abdcbfff293,Thu Aug 6 03:27:09 2020 +0000,"8.9/apache-buster/Dockerfile
8.9/fpm-alpine3.12/Dockerfile
8.9/fpm-buster/Dockerfile
","M
M
M
"
10,be98c136f919d081e21e5b327e3e6338bb99f410,Thu Aug 6 03:27:09 2020 +0000,"9.0/apache-buster/Dockerfile
9.0/fpm-alpine3.12/Dockerfile
9.0/fpm-buster/Dockerfile
","M
M
M
"
11,e7d2cad3f048569cc069a5593b713b6b859b66b8,Wed Aug 5 17:28:43 2020 -0700,,
12,530833e89ecc367b136b720d1ca89b6d5379ae57,Wed Aug 5 14:59:36 2020 -0700,"8.8/apache-buster/Dockerfile
8.8/fpm-alpine3.12/Dockerfile
8.8/fpm-buster/Dockerfile
8.9/apache-buster/Dockerfile
8.9/fpm-alpine3.12/Dockerfile
8.9/fpm-buster/Dockerfile
9.0/apache-buster/Dockerfile
9.0/fpm-alpine3.12/Dockerfile
9.0/fpm-buster/Dockerfile
Dockerfile-alpine.template
Dockerfile-debian.template
","M
M
M
M
M
M
M
M
M
M
M
"
13,4a5ce8db5c29fa192bd991346dcf9e3c473fa0e2,Mon Aug 3 15:46:14 2020 -0700,"7/apache-buster/Dockerfile
7/fpm-alpine3.12/Dockerfile
7/fpm-buster/Dockerfile
8.8/apache-buster/Dockerfile
8.8/fpm-alpine3.12/Dockerfile
8.8/fpm-buster/Dockerfile
8.9/apache-buster/Dockerfile
8.9/fpm-alpine3.12/Dockerfile
8.9/fpm-buster/Dockerfile
9.0/apache-buster/Dockerfile
9.0/fpm-alpine3.12/Dockerfile
9.0/fpm-buster/Dockerfile
Dockerfile-7-alpine.template
Dockerfile-7-debian.template
Dockerfile-alpine.template
Dockerfile-debian.template
","M
M
M
M
M
M
M
M
M
M
M
M
A
A
M
M
"
14,e2c7e05ee4b05a278b161ae2e93f771dd78d904d,Tue Jul 28 10:20:44 2020 -0700,,
15,999ac2500a68be029d7218a8f921200d2996e51a,Thu Jul 16 17:00:57 2020 -0700,,
16,078526440cf067eb9ef196fdd9a61d0cd842df52,Thu Jul 16 16:44:41 2020 -0700,"7/apache/Dockerfile  7/apache-buster/Dockerfile
7/fpm-alpine/Dockerfile  7/fpm-alpine3.12/Dockerfile
7/fpm/Dockerfile  7/fpm-buster/Dockerfile
8.8/apache/Dockerfile  8.8/apache-buster/Dockerfile
8.8/fpm-alpine/Dockerfile  8.8/fpm-alpine3.12/Dockerfile
8.8/fpm/Dockerfile  8.8/fpm-buster/Dockerfile
8.9/apache/Dockerfile  8.9/apache-buster/Dockerfile
8.9/fpm-alpine/Dockerfile  8.9/fpm-alpine3.12/Dockerfile
8.9/fpm/Dockerfile  8.9/fpm-buster/Dockerfile
9.0/apache/Dockerfile  9.0/apache-buster/Dockerfile
9.0/fpm-alpine/Dockerfile  9.0/fpm-alpine3.12/Dockerfile
9.0/fpm/Dockerfile  9.0/fpm-buster/Dockerfile
Dockerfile-alpine.template
Dockerfile-debian.template
","R
R
R
R
R
R
R
R
R
R
R
R
M
M
"
17,71ffa1cde017936514d24d64127fb78956ea5c1b,Wed Mar 4 16:45:41 2020 -0800,"7/apache/Dockerfile
7/fpm/Dockerfile
8.8/apache/Dockerfile
8.8/fpm/Dockerfile
8.9/apache/Dockerfile
8.9/fpm/Dockerfile
9.0/apache/Dockerfile
9.0/fpm-alpine/Dockerfile
9.0/fpm/Dockerfile
Dockerfile-debian.template
","M
M
M
M
M
M
A
A
A
M
"
18,e382bbf87765657ae8761e404cb3e4b28674c40b,Wed Jul 8 21:27:11 2020 +0000,"8.9/apache/Dockerfile
8.9/fpm-alpine/Dockerfile
8.9/fpm/Dockerfile
","M
M
M
"
19,5c214244f66447edfb98c2091f85df32c9f00f52,Wed Jun 17 21:27:07 2020 +0000,"7/apache/Dockerfile
7/fpm-alpine/Dockerfile
7/fpm/Dockerfile
","M
M
M
"
