,CommitID,Date,Dockerfiles,Status
0,36c1ff6d7b44428b35fa8b61787c76b225d8184a,Thu,"10/Dockerfile
","M
"
1,7f1fc5e8be598446b2546b808572db546e959643,Wed,,
2,febea334dd683398417de1348ea2256249ef42af,Wed,,
3,36b9d231538ff0b3685b1e36503e472ee62c0d15,Thu,"7/Dockerfile
","D
"
4,fd2dbbe5303e1339babc6d22e47831b60f6a5b12,Thu,,
5,97b046b578bd86cae5414d80b3ad0027c590aebd,Thu,"10/Dockerfile
","A
"
6,3aed9627085c41b8a4d3a877ae4b582506ed7c5a,Thu,,
7,05aef2fc627328e12bbf77aca44fd399a22c7fc4,Thu,"7/Dockerfile
8/Dockerfile
9/Dockerfile
Dockerfile.template
","M
M
M
M
"
8,f67402e702df9de995ad7471c9cf42ed8a21bda3,Thu,,
9,48d2a53ebfd92b203c11650db203ce35901ee122,Thu,"6/Dockerfile
","D
"
10,de06dd2f0022e9949dd63882afab7e96baa1efe4,Wed,,
11,f211dc28ee4b847ca9511720bb989bde258c5349,Wed,,
12,d9a58942c8ff2c5c5a01e16bf0ffdf5e5dc61277,Thu,"9/Dockerfile
","M
"
13,f3db0f591ce42dd2ac3aec240ca47c87762bc385,Wed,"8/Dockerfile
","M
"
14,aab71caeb1be048b44fd140a102cb7f17f995276,Thu,"7/Dockerfile
","M
"
15,b432388996bf686dd6e21bd529a4b4fb7ef38a43,Tue,,
16,65cee66f798434200d4efd651d97b4427bb82570,Mon,"9/Dockerfile
","M
"
17,28f4e9d655b6358901ae0823dbbbd238724ac343,Fri,,
18,035d5baa91016103e8f5231b6d589054381b0f55,Thu,"7/Dockerfile
8/Dockerfile
9/Dockerfile
","M
M
M
"
19,8e2286a928a59958700e0452ff88a361806be5f8,Thu,,
20,f006cdf540ef05b3ca20c0d4243f43c0794b867b,Fri,,
21,c2066bb89cc5ebb64ae3562e507e5d6551007088,Fri,"5/Dockerfile
","D
"
22,9a4f95091f566887198571f820237b4549ecee08,Fri,,
23,067197794df278e6be14a76a3e0ec80e9ad86941,Sat,"9/Dockerfile
","A
"
24,28213c0ec6bfadb6c8f7c45b7f67bf8e53b0655f,Fri,"8/Dockerfile
","M
"
25,b310e74341c7e0f908ebef8919aee4f550b6f59f,Mon,,
26,e2740e64805f58dae4eb3a7958ded1fa19e6c349,Thu,"7/Dockerfile
","M
"
27,5c7c85719f8f098af9edc8fa90ddc8557c6dd705,Thu,,
28,e17fd3097b743216f292e50ea8e84b3b3bcc4e53,Thu,"5/Dockerfile
6/Dockerfile
7/Dockerfile
8/Dockerfile
Dockerfile.template
","M
M
M
M
M
"
29,315b475c90d03bfc78e504498e103e2d3b60c556,Wed,,
30,5fe30c993194e71c953a96499bffb07392408c10,Wed,"5/Dockerfile
6/Dockerfile
7/Dockerfile
8/Dockerfile
Dockerfile.template
","M
M
M
M
M
"
31,9157d583e598af075ec9cb7d7c30573dd508a279,Tue,,
32,0915d9f7df75b3e37336e3d3bdacb64fbf2ecf88,Mon,"5/Dockerfile
6/Dockerfile
7/Dockerfile
8/Dockerfile
","M
M
M
M
"
33,39068ce90df7af11fba4415896cd1b8391735405,Tue,"6/Dockerfile
","M
"
34,67f3e731baf09a44369c2b0810c40a207d8f2638,Fri,,
35,03f749f3db89492de30407fb33bab9f5af55a62b,Fri,"5/Dockerfile
6/Dockerfile
7/Dockerfile
8/Dockerfile
Dockerfile.template
","M
M
M
M
M
"
36,46e990cc8a8264388e7c8d78c86a95f1b504b965,Mon,,
37,ca5b263c1028b3a4fbdb8c2d800544ab43d524a0,Thu,"8/Dockerfile
","M
"
38,9e96ed1e82f6896b98e1d011774789de7160bcf0,Thu,,
39,259988d18e191f9181be6f6a5ca3d879ce2cc644,Wed,,
40,0a7f7464baaa3a24cdd35e1173d84ab94e32a14d,Wed,"5/Dockerfile
6/Dockerfile
7/Dockerfile
8/Dockerfile
Dockerfile.template
","M
M
M
A
M
"
41,e9e7c521558a89cd10050f0e025d84145c467f89,Thu,,
42,0f2605b8a300a1cbd70d244330400e8baf1dde33,Thu,"7/Dockerfile
","M
"
43,a54244c567afa3bb5608cbcd72ea28e47c18c82f,Mon,"Dockerfile.template
","M
"
44,c85250e72162c7a1911cae3a6c77914b14b81a24,Mon,,
45,0423cc3f79023c2ab821d2377f73105217c46892,Sat,"5/Dockerfile
6/Dockerfile
7/Dockerfile
","M
M
M
"
46,ee35fa4d124d9996ec8c975976d719392cf06ba1,Mon,,
47,1f3be2bd5373e6d902df99a3619add9183e4f675,Sun,"5/Dockerfile
","M
"
48,56389d7d7994701515151b2e639bacbef6887027,Sat,"5/Dockerfile
","M
"
49,b2d06a80d7419effacad90c7c47bd9aef4182f35,Sat,"5/Dockerfile
","M
"
50,71d4097035bbfb178b0c6e7c7e129074b75912a2,Sat,"5/Dockerfile
","M
"
51,9bf9204098e91914c02bc07d1fb44e33555276ed,Wed,"7/Dockerfile
","M
"
52,32372e7b779f915559dac0d98d0ec38a82a787b5,Tue,"7/Dockerfile
","M
"
53,db9c2ec80d337c8dc5d396749278557b0a5947f1,Wed,,
54,18171698e694c648ccf2cc1aa98ea806b58701d5,Wed,"5/Dockerfile
6/Dockerfile
7/Dockerfile
Dockerfile.template
","M
M
M
M
"
55,017b5a6a76b3f3f52a0d4643ac0e7340253c5689,Tue,,
56,b6ad93a00a6d2fea84b578506712247217294200,Tue,"5/Dockerfile
","A
"
57,497fdbb37dbfc0829b5821594b68ef24d9f4f72c,Fri,"4.9/Dockerfile
5/Dockerfile
","D
D
"
58,061cb45ab2a8a234019bfaf4b7bba69555828b40,Thu,,
