,CommitID,Date,Dockerfiles,Status
0,9ef4804c28679a416a445397f9b2e2b105005151,Tue Apr 28 18:13:18 2020 -0700,,
1,bf647240598307a764b000f7cbf405d412cd3776,Tue Apr 28 15:01:09 2020 -0700,,
2,eff5b9a4c900da4c062b393159ec73b31e27467a,Wed Apr 15 14:33:33 2020 -0700,,
3,ad5a6e8372e391585ae6207de363973705b15412,Tue Jan 21 16:40:20 2020 -0800,,
4,8cec84c2e489a9261638eabd128210b8736c8869,Mon Jan 20 16:42:45 2020 +0300,,
5,1b6581761dbcc3925f73a87214ec2c8cba06aec6,Mon Dec 30 16:17:44 2019 -0800,"Dockerfile.build
mips64le/hello-world/Dockerfile
","M
A
"
6,e6a1422dd9ad103d9f1f96d9b7147e5a5ec5cd40,Mon Dec 30 17:16:10 2019 -0700,,
7,7ecae6978055d2fb6960e2a29d24a2af612e2716,Mon Dec 30 14:44:00 2019 -0800,"Dockerfile.build
","M
"
8,837f63a4a9cc1e06320f47abb98965b6c5672b30,Mon Dec 9 14:31:33 2019 -0800,"amd64/hello-world/nanoserver-1803/Dockerfile
","D
"
9,e0560ca4264403e1eae70df3303ff0bb0eb000f4,Tue Dec 3 15:03:03 2019 -0800,,
10,c6800ec430cc326aa47fa07183a7492295e54255,Mon Dec 2 19:06:00 2019 -0800,"amd64/hello-seattle/Dockerfile
amd64/hello-seattle/nanoserver-1803/Dockerfile
amd64/hello-seattle/nanoserver-1809/Dockerfile
amd64/hola-mundo/Dockerfile
amd64/hola-mundo/nanoserver-1803/Dockerfile
amd64/hola-mundo/nanoserver-1809/Dockerfile
arm32v5/hello-seattle/Dockerfile
arm32v5/hola-mundo/Dockerfile
arm32v7/hello-seattle/Dockerfile
arm32v7/hola-mundo/Dockerfile
arm64v8/hello-seattle/Dockerfile
arm64v8/hola-mundo/Dockerfile
i386/hello-seattle/Dockerfile
i386/hola-mundo/Dockerfile
ppc64le/hello-seattle/Dockerfile
ppc64le/hola-mundo/Dockerfile
s390x/hello-seattle/Dockerfile
s390x/hola-mundo/Dockerfile
","D
D
D
D
D
D
D
D
D
D
D
D
D
D
D
D
D
D
"
