,CommitID,Date,Dockerfiles,Status
0,c8c4d223a052220527c6d6f152b89587be0f5a7c,Thu Sep 3 14:45:47 2020 +0000,"7.4/alpine3.11/cli/Dockerfile
7.4/alpine3.11/fpm/Dockerfile
7.4/alpine3.11/zts/Dockerfile
7.4/alpine3.12/cli/Dockerfile
7.4/alpine3.12/fpm/Dockerfile
7.4/alpine3.12/zts/Dockerfile
7.4/buster/apache/Dockerfile
7.4/buster/cli/Dockerfile
7.4/buster/fpm/Dockerfile
7.4/buster/zts/Dockerfile
","M
M
M
M
M
M
M
M
M
M
"
1,aa19fbf0f87d15e83b897d7ee058aadbce1a740d,Thu Sep 3 14:08:03 2020 +0000,"8.0-rc/alpine3.12/cli/Dockerfile
8.0-rc/alpine3.12/fpm/Dockerfile
8.0-rc/buster/apache/Dockerfile
8.0-rc/buster/cli/Dockerfile
8.0-rc/buster/fpm/Dockerfile
8.0-rc/buster/zts/Dockerfile
","M
M
M
M
M
M
"
2,d6838d8e45f6356d867dbc8ff8b3513492cba500,Thu Sep 3 12:46:17 2020 +0000,"7.3/alpine3.11/cli/Dockerfile
7.3/alpine3.11/fpm/Dockerfile
7.3/alpine3.11/zts/Dockerfile
7.3/alpine3.12/cli/Dockerfile
7.3/alpine3.12/fpm/Dockerfile
7.3/alpine3.12/zts/Dockerfile
7.3/buster/apache/Dockerfile
7.3/buster/cli/Dockerfile
7.3/buster/fpm/Dockerfile
7.3/buster/zts/Dockerfile
7.3/stretch/apache/Dockerfile
7.3/stretch/cli/Dockerfile
7.3/stretch/fpm/Dockerfile
7.3/stretch/zts/Dockerfile
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
3,2f5aa9ae2804b40a4ed0dc9f575f183e278a1079,Fri Aug 28 17:23:58 2020 -0700,,
4,165f8ca09cbbe90f22566c6ad6b18a284b77bb7e,Mon Aug 17 22:12:07 2020 -0700,"7.2/alpine3.11/cli/Dockerfile
7.2/alpine3.11/fpm/Dockerfile
7.2/alpine3.11/zts/Dockerfile
7.2/alpine3.12/cli/Dockerfile
7.2/alpine3.12/fpm/Dockerfile
7.2/alpine3.12/zts/Dockerfile
7.2/buster/apache/Dockerfile
7.2/buster/cli/Dockerfile
7.2/buster/fpm/Dockerfile
7.2/buster/zts/Dockerfile
7.2/stretch/apache/Dockerfile
7.2/stretch/cli/Dockerfile
7.2/stretch/fpm/Dockerfile
7.2/stretch/zts/Dockerfile
7.3/alpine3.11/cli/Dockerfile
7.3/alpine3.11/fpm/Dockerfile
7.3/alpine3.11/zts/Dockerfile
7.3/alpine3.12/cli/Dockerfile
7.3/alpine3.12/fpm/Dockerfile
7.3/alpine3.12/zts/Dockerfile
7.3/buster/apache/Dockerfile
7.3/buster/cli/Dockerfile
7.3/buster/fpm/Dockerfile
7.3/buster/zts/Dockerfile
7.3/stretch/apache/Dockerfile
7.3/stretch/cli/Dockerfile
7.3/stretch/fpm/Dockerfile
7.3/stretch/zts/Dockerfile
7.4/alpine3.11/cli/Dockerfile
7.4/alpine3.11/fpm/Dockerfile
7.4/alpine3.11/zts/Dockerfile
7.4/alpine3.12/cli/Dockerfile
7.4/alpine3.12/fpm/Dockerfile
7.4/alpine3.12/zts/Dockerfile
7.4/buster/apache/Dockerfile
7.4/buster/cli/Dockerfile
7.4/buster/fpm/Dockerfile
7.4/buster/zts/Dockerfile
8.0-rc/alpine3.12/cli/Dockerfile
8.0-rc/alpine3.12/fpm/Dockerfile
8.0-rc/buster/apache/Dockerfile
8.0-rc/buster/cli/Dockerfile
8.0-rc/buster/fpm/Dockerfile
8.0-rc/buster/zts/Dockerfile
Dockerfile-alpine.template
apache-Dockerfile-block-1  Dockerfile-apache-block-1.template
apache-Dockerfile-block-2  Dockerfile-apache-block-2.template
Dockerfile-debian.template
fpm-Dockerfile-block-1  Dockerfile-fpm-block-1.template
fpm-Dockerfile-block-2  Dockerfile-fpm-block-2.template
Dockerfile-zts-block-1.template
zts-Dockerfile-block-1
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
R
R
M
R
R
A
D
"
5,b44c4f17328285f8b23338e3c629ac3bc6ad4847,Fri Aug 28 11:18:21 2020 -0700,,
6,5dc2907371497dd81f6e7ac501cbc3adef045d93,Tue Apr 28 15:14:56 2020 -0700,,
7,6ae59ac9da022f2d06a9f3cb314da7388213fc55,Fri Aug 21 14:48:36 2020 +0000,"8.0-rc/alpine3.12/cli/Dockerfile
8.0-rc/alpine3.12/fpm/Dockerfile
8.0-rc/buster/apache/Dockerfile
8.0-rc/buster/cli/Dockerfile
8.0-rc/buster/fpm/Dockerfile
8.0-rc/buster/zts/Dockerfile
","M
M
M
M
M
M
"
8,098e442542e8a10bdee2c22484a98d41583a8fb9,Thu Aug 6 12:46:15 2020 +0000,"7.3/alpine3.11/cli/Dockerfile
7.3/alpine3.11/fpm/Dockerfile
7.3/alpine3.11/zts/Dockerfile
7.3/alpine3.12/cli/Dockerfile
7.3/alpine3.12/fpm/Dockerfile
7.3/alpine3.12/zts/Dockerfile
7.3/buster/apache/Dockerfile
7.3/buster/cli/Dockerfile
7.3/buster/fpm/Dockerfile
7.3/buster/zts/Dockerfile
7.3/stretch/apache/Dockerfile
7.3/stretch/cli/Dockerfile
7.3/stretch/fpm/Dockerfile
7.3/stretch/zts/Dockerfile
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
9,8663909bd06cb1695dcdbbff21c4d393afb30557,Thu Aug 6 12:46:15 2020 +0000,"7.2/alpine3.11/cli/Dockerfile
7.2/alpine3.11/fpm/Dockerfile
7.2/alpine3.11/zts/Dockerfile
7.2/alpine3.12/cli/Dockerfile
7.2/alpine3.12/fpm/Dockerfile
7.2/alpine3.12/zts/Dockerfile
7.2/buster/apache/Dockerfile
7.2/buster/cli/Dockerfile
7.2/buster/fpm/Dockerfile
7.2/buster/zts/Dockerfile
7.2/stretch/apache/Dockerfile
7.2/stretch/cli/Dockerfile
7.2/stretch/fpm/Dockerfile
7.2/stretch/zts/Dockerfile
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
