,CommitID,Date,Dockerfiles,Status
0,e4387022ba045745cc26cafbb77b5c910d7e1964,Wed,,
1,1b0fc8e0014fa1ac36812db5147b7d7ac25c1b0e,Tue,,
2,e16e955a67f48c1e8dc0af87ba6c0b7f8302bad2,Tue,"Dockerfile
","M
"
3,4725bd5c66f6b01f845952b390cbd1c707615940,Wed,,
4,74262f5482517f779681590b0194758ff75cf77c,Thu,"Dockerfile
","M
"
5,81676c55499113778b097a9235bd449a754d94f4,Tue,,
6,15389f3f777fe16044a04709c2000f98948d16fa,Mon,"Dockerfile
","M
"
7,bd6822c973c76fbf84f891a42a5d3a68bf66fa08,Thu,,
8,ff58156332928e6d86397a25559c55a92d4fb2b0,Tue,,
9,e9f8feb3addfd9b33f66384030191faf057a8721,Fri,,
10,9df9b5e6b1519faf22e1565c2caaebf7cc1c665b,Fri,"onbuild/Dockerfile
","M
"
11,04006011344175c10b6864193eee74d626b84b11,Fri,"Dockerfile
","M
"
12,09ca1187b57df26d1ba3fb04874806bdd47109f8,Tue,"Dockerfile
","M
"
13,db9122c0525e0a9f76ed47dbfb26e8e25ca0af70,Mon,"Dockerfile
","M
"
14,e2b37f7c245ecf9a34b9d99462c081599897b370,Tue,"Dockerfile
","M
"
15,c4fa43cb58579cc03e0616042beb7aa7a10a7c24,Fri,,
16,f3ef118d37ca86984de17c7bf2ec52e14086f769,Mon,,
17,1d9e5d95eaff6030dd28be4de0b415cc415e0497,Thu,"Dockerfile
","M
"
18,26838c0aace184e65abd81c84ea2ee6b6c16d15b,Thu,,
19,7926577517fb974f9de9ca1511162d6d5e000435,Mon,"Dockerfile
","M
"
20,73c03ee699b86b3cfbae935dd59a2767c191e7d7,Tue,,
21,45426c46afb4ebcc65f3769f218798210f0367f9,Mon,,
22,f4a213a0748ad1f5912cccea983b56a0486d9fe5,Fri,,
23,18ccf8fb68f5065f1a6509b155b911fcce43b468,Thu,,
24,e3a9c6f610e9d1e428cecfae02feddcd1e22b36c,Fri,"Dockerfile
","M
"
25,ae30cd01e0f5bb0229907445fd5b7f0f518d84cd,Tue,"Dockerfile
","M
"
26,01ae4cfa7b8f7da6eab6ff2e7d56e0ccfbab6307,Thu,,
27,9fb5d2b7e0f2e7029855028e07e86ab7ec54abaa,Thu,"Dockerfile
onbuild/Dockerfile
","M
M
"
28,c5ae701892b5588c782c772d3edd35909acf99b9,Tue,"Dockerfile
onbuild/Dockerfile
","M
M
"
29,ff5df251379dd7f95c005e95d1586d6d338285e4,Thu,"Dockerfile
","M
"
30,2c0ee48228c1286e53001f0b95fa28e7524b57cd,Fri,"Dockerfile
onbuild/Dockerfile
","M
M
"
31,9de56127a19118f243b8a8f857cfa47e8fc9bdef,Mon,,
32,4f8be1daa9b95d27409ea2329f839c45b856c940,Mon,,
33,8dc06608a802c550ec26abde77a7a863fabbaab9,Wed,,
34,3c87a6cf32d01204b95ba12a266d13c8c32e5358,Tue,"onbuild/Dockerfile
","M
"
35,7a7f05408cddabc75ca3c5252097e238021680a8,Wed,,
36,940d1a7d0fc11d32aed4eb3b2cb22f62f65c6814,Fri,"Dockerfile
onbuild/Dockerfile
","M
M
"
37,c23de4e8a0190d0f4c11b9b3d19f8fc6d42e9714,Wed,"Dockerfile
","M
"
38,4cb183520d97f8bfe1828604397c1af8533a465d,Thu,"Dockerfile
","M
"
39,7d9fd24f6bc8d884c94ef4a447266b96efca7e41,Fri,,
40,cedbbc335ac4520c838e2921257ad1809c734c9a,Fri,"Dockerfile
onbuild/Dockerfile
","M
M
"
41,90ccf97ef73b253dadd2e4d5466976fbef7de08f,Mon,"Dockerfile
onbuild/Dockerfile
","M
M
"
42,5609a653163753eba511a2d1bee9b5b64b6325d4,Wed,,
43,f864c73d9f55da34ba85d9c4b57b4f4a18d5c612,Wed,"Dockerfile
onbuild/Dockerfile
","M
M
"
44,3e5ae54d78b25b405089d0be5d5ed962c37d1275,Mon,,
45,c5eaefb3e9e3ba382ff94241aedfe96a3635535c,Mon,"onbuild/Dockerfile
","M
"
46,7e32ae82ec83b21bffe89ae2b13fb4ad6ca60435,Mon,"Dockerfile
onbuild/Dockerfile
","M
M
"
47,1e82b979cfb2f9b5e057bb8a9970038f46aa3d88,Sat,"Dockerfile
","M
"
48,fed0fd9fea59c0fedabea1995ad14754fef8a183,Wed,,
49,090105ce6bc05761c8248dbca912455c34098aa1,Wed,,
50,ffbe8824375e243d54c36afffb7c307c9cf94e48,Wed,,
51,dd02407f328282d75b7e43c4a7f1c02e3993032f,Wed,,
52,658e9b69cbf1c7f3580b78940ed2be2f2cc6c497,Wed,,
53,2f86b2e73f46be25d780575f0b6e9ad03b60880e,Tue,"Dockerfile
","M
"
54,223e41f30c1035115e31c64424fc928820fed8f6,Fri,,
55,7bb6ade7f97129cc58967d7d0ae17f4b62ae52eb,Fri,"Dockerfile
onbuild/Dockerfile
","M
M
"
56,eaca22bd1dc1d31ad67ae93ea428bad45eaa4c29,Thu,,
57,d90069dcad89d6fd21c8a6c0490eaf1119774ba9,Thu,"Dockerfile
","M
"
58,c53f487ed55826f2700a8d571d8eb3311619e8e5,Tue,"Dockerfile
","M
"
59,fd4c9af9447004442ac17b096512ac12c3da4eaa,Tue,"Dockerfile
onbuild/Dockerfile
","A
A
"
