,CommitID,Date,Dockerfiles,Status
0,9c3a13c0683edc2e68ac69c1f2e31f53b65fc000,Sat Sep 5 18:31:39 2020 +0000,,
1,f604b3402cf90bc2fd37d0659aa5ca562745f895,Fri Sep 4 06:20:28 2020 +0530,,
2,e544db9616b5c9a7bf7663c510c90d138bce6ae9,Fri Sep 4 03:19:38 2020 +0530,"8.6/Dockerfile
8.6/slim/Dockerfile
","M
M
"
3,0f07ce64513cafe3435972fc4a43bbd775bbd138,Thu Sep 3 09:29:11 2020 +0200,,
4,c83769be23088cf543cd268699e8968a1aa1b27e,Sat Aug 15 01:15:59 2020 -0400,"8.6/Dockerfile
8.6/slim/Dockerfile
","M
M
"
5,7d4b7322d47bb7c2ff6c7ad2094aae2712010188,Tue Aug 11 09:48:26 2020 -0400,"8.6/Dockerfile
8.6/slim/Dockerfile
","A
A
"
6,9bd7de97e84615eb9eacc7a243dfc5519153933a,Mon Jun 8 12:40:44 2020 +0200,,
7,86159575c4b6da2010ae9ee003bf5a6de31157cb,Sat Jun 6 00:54:52 2020 +0200,"5.5/Dockerfile
5.5/slim/Dockerfile
6.6/Dockerfile
6.6/slim/Dockerfile
7.7/Dockerfile
7.7/slim/Dockerfile
8.0/Dockerfile
8.0/slim/Dockerfile
8.1/Dockerfile
8.1/slim/Dockerfile
8.2/Dockerfile
8.2/slim/Dockerfile
8.3/Dockerfile
8.3/slim/Dockerfile
8.4/Dockerfile
8.4/slim/Dockerfile
8.5/Dockerfile
8.5/slim/Dockerfile
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
8,716abdfec223d6a7922d98b09a3f26003243d248,Sat Jun 6 00:46:19 2020 +0200,,
9,547986b213625f2e2a6738968fa3313bbeb0acf0,Fri Jun 5 23:50:06 2020 +0200,,
10,f13da87b1bfb0916e926e4e26dbbb3b6be786a4f,Mon Jun 8 11:44:33 2020 +0200,"5.5/Dockerfile
5.5/slim/Dockerfile
6.6/Dockerfile
6.6/slim/Dockerfile
7.7/Dockerfile
7.7/slim/Dockerfile
8.0/Dockerfile
8.0/slim/Dockerfile
8.1/Dockerfile
8.1/slim/Dockerfile
8.2/Dockerfile
8.2/slim/Dockerfile
8.3/Dockerfile
8.3/slim/Dockerfile
8.4/Dockerfile
8.4/slim/Dockerfile
8.5/Dockerfile
8.5/slim/Dockerfile
Dockerfile-varsolr.template
Dockerfile.template
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
11,f79c851bec6052dfab80057480ffb4ac6015ddcd,Tue May 12 10:52:40 2020 +0200,,
