,CommitID,Date,Dockerfiles,Status
0,6ced4c004bac9d5a024eefbc1d90219c78ce784b,Mon,"10.7.0/mono/Dockerfile
10.7.0/netcore/Dockerfile
","A
A
"
1,2ffa0ffb79c1607617c28130f981e83f55e6cbc5,Mon,"10.6.0/netcore/Dockerfile
","M
"
2,a5ba1bc5bda83fda4f0f995315ec003cc2dac587,Sat,"10.6.0/netcore/Dockerfile
","M
"
3,0b35104dc02b1698240ba95923e937398959825c,Sat,"10.6.0/mono/Dockerfile
10.6.0/netcore/Dockerfile
","A
A
"
4,293936fb4b847efc9e25c8e41b5a057ca2b2ee3e,Fri,,
5,737c37a72eddd2312a7313d678ac49a37291038b,Fri,,
6,68aabed393de79cf3056563cc0605104c3ca521a,Thu,,
7,7155e5db91f287466c0166d887d381c2811ece1d,Thu,,
8,b86b2177201fdf08ce05374dce84a9bc808eddfd,Wed,,
9,bac5bb88a7cb758f3a92bed2874a50a68d1bfc8a,Sun,,
10,06220dff2a08b409db3b0ef78e99c041cf05290c,Sun,"10.2.3/mono/Dockerfile
10.2.3/netcore/Dockerfile
","A
A
"
11,5a56bc22e06470533380392725c476fd3c66fee3,Sat,"10.2.1/mono/Dockerfile
10.2.1/netcore/Dockerfile
","M
M
"
12,662b454df56198afeb1c7c4a2a5bafc25235394b,Sun,,
13,efe7621074054330a5e9a295241f55b3b7d41afc,Sun,,
14,0bd603ff30ab83fb25eb777cfe0cc46e91cb3462,Wed,"10.2.1/mono/Dockerfile
","M
"
15,f495db3a791138b7d2b196753874aa1e4312ba8e,Sat,"10.2.1/mono/Dockerfile
","M
"
16,566243000b473be162d1346ef2479c990b302a7d,Sat,"10.0.2/mono/Dockerfile
10.0.2/netcore/Dockerfile
","R
R
"
17,eab3cb9d185d6fd0c8e79c7a5ca9b3ac28b91392,Wed,,
18,2cf436801bb12078e70808416722b881699fc1a9,Wed,,
19,1949a6dc9f836e4b969d08004e3240e4d3f22196,Wed,,
20,6992fd0b5e1c6875ccb3955ee3ab0fbc90908e27,Thu,"10.0.2/netcore/Dockerfile
","M
"
21,896eb3dd8427a1b4ce1d394734e16232acd47226,Wed,"4.1.34/mono/Dockerfile
4.1.34/netcore/Dockerfile
","A
A
"
22,93195263deaa74b7c1edd4c78995293d67d61be5,Tue,"4.1.34/mono/Dockerfile
4.1.34/netcore/Dockerfile
","R
R
"
23,b01e499916b2784b94a4b1bbf2094413e3d8e999,Wed,"4.1.34/netcore/Dockerfile
","M
"
24,14aa545ada5203e932fc4d102e66f59369ec7545,Tue,"4.1.34/netcore/Dockerfile
","M
"
25,f1c1a562118cee0f0f9b31890b5f099b37e72284,Fri,"4.1.29/mono/Dockerfile
4.1.29/netcore/Dockerfile
","R
R
"
