,CommitID,Date,Dockerfiles,Status
0,3b9b9a13f4bd09a597e30244082aa253c3ccdb3a,Wed,,
1,54ea480e6e3b2563e3e5dcd3df74ca3d280876e1,Wed,"dockerfiles/disco-non-free/Dockerfile
dockerfiles/disco/Dockerfile
","R
R
"
2,49e7a28d2e595d57020ac0fab656e9fee719f691,Wed,,
3,6eb0813b97f394da3a9960a2bc35cf11c7ac7da6,Wed,,
4,b48258339ba2e3addd11ccaed4933f8e5153033c,Thu,"dockerfiles/bullseye-non-free/Dockerfile
dockerfiles/bullseye/Dockerfile
dockerfiles/cosmic-non-free/Dockerfile
dockerfiles/cosmic/Dockerfile
","A
A
R
R
"
5,f3084dbdada4ac584f48b23fd7adf7a901c8633c,Thu,,
6,2af76af79889f74d8c89ece4abadda377416e42d,Thu,,
7,7c6db665a57c6f4bee289c5d13f3ab80bd1fc563,Wed,,
8,e9f5cb910b7712eb1a7fb30a553e0d9560d2158e,Wed,"dockerfiles/trusty-non-free/Dockerfile
dockerfiles/trusty/Dockerfile
","R
R
"
9,c253bdcb541345b7d711fb757d2a325610c03839,Mon,,
10,28179a5247bf4681dd56cd11c542f57fafbe0354,Mon,"dockerfiles/bionic-non-free/Dockerfile
dockerfiles/bionic/Dockerfile
dockerfiles/buster-non-free/Dockerfile
dockerfiles/buster/Dockerfile
dockerfiles/cosmic-non-free/Dockerfile
dockerfiles/cosmic/Dockerfile
dockerfiles/jessie-non-free/Dockerfile
dockerfiles/jessie/Dockerfile
dockerfiles/sid-non-free/Dockerfile
dockerfiles/sid/Dockerfile
dockerfiles/stretch-non-free/Dockerfile
dockerfiles/stretch/Dockerfile
dockerfiles/trusty-non-free/Dockerfile
dockerfiles/trusty/Dockerfile
dockerfiles/xenial-non-free/Dockerfile
dockerfiles/xenial/Dockerfile
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
11,4c894dd51c5fac0f07a1a73e57ccabf784708519,Mon,"gen_dockerfiles
","M
"
12,411157c4e94f03618680fd032fc1b8389a7f29ae,Mon,"dockerfiles/cosmic-non-free/Dockerfile
dockerfiles/cosmic/Dockerfile
","A
A
"
13,4e877509f3e76241270293b361acce62d591c7fa,Mon,,
14,300ce1c2087ee001431689717f474b1f0261ba50,Mon,,
15,2a0ba3a5abf5e981bfd0e40b85880c2c02e6a7fe,Wed,,
16,c4bdd9020cfb92c0ae25a676aae889a67735bce6,Wed,"dockerfiles/bionic-non-free/Dockerfile
dockerfiles/bionic/Dockerfile
dockerfiles/buster-non-free/Dockerfile
dockerfiles/buster/Dockerfile
dockerfiles/jessie-non-free/Dockerfile
dockerfiles/jessie/Dockerfile
dockerfiles/sid-non-free/Dockerfile
dockerfiles/sid/Dockerfile
dockerfiles/stretch-non-free/Dockerfile
dockerfiles/stretch/Dockerfile
dockerfiles/trusty-non-free/Dockerfile
dockerfiles/trusty/Dockerfile
dockerfiles/xenial-non-free/Dockerfile
dockerfiles/xenial/Dockerfile
gen_dockerfiles
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
17,8d76dde3997f00ee58813317eeb2765ea14a4a74,Mon,"dockerfiles/wheezy-non-free/Dockerfile
dockerfiles/wheezy/Dockerfile
","D
D
"
18,8b97d8b56a517bc336894bd16ea0626d012bb485,Mon,,
19,dd516c34c3a5bc385868806460a3a9a936bd1e4c,Fri,"dockerfiles/artful-non-free/Dockerfile
dockerfiles/artful/Dockerfile
","D
D
"
20,f42815dd044b83a5367a3ff2c15fc071c0df309b,Fri,,
21,9092529a5f5ded219ac810c9a437999035cb0d54,Fri,,
22,f215a2f59f513575171e755e172ad7c85769df72,Thu,"dockerfiles/artful-non-free/Dockerfile
dockerfiles/artful/Dockerfile
dockerfiles/bionic-non-free/Dockerfile
dockerfiles/bionic/Dockerfile
dockerfiles/buster-non-free/Dockerfile
dockerfiles/buster/Dockerfile
dockerfiles/jessie-non-free/Dockerfile
dockerfiles/jessie/Dockerfile
dockerfiles/sid-non-free/Dockerfile
dockerfiles/sid/Dockerfile
dockerfiles/stretch-non-free/Dockerfile
dockerfiles/stretch/Dockerfile
dockerfiles/trusty-non-free/Dockerfile
dockerfiles/trusty/Dockerfile
dockerfiles/wheezy-non-free/Dockerfile
dockerfiles/wheezy/Dockerfile
dockerfiles/xenial-non-free/Dockerfile
dockerfiles/xenial/Dockerfile
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
23,239d16ff15fe87c36589ee55a635ec8de8c2dc06,Thu,"gen_dockerfiles
","M
"
24,4dccc27397526b86996831d447e785f68f33dd15,Thu,"gen_dockerfiles
","M
"
25,de28fe15796e6fc93ee68b550dc1b78d897171e9,Wed,"dockerfiles/artful-non-free/Dockerfile
dockerfiles/artful/Dockerfile
dockerfiles/bionic-non-free/Dockerfile
dockerfiles/bionic/Dockerfile
dockerfiles/buster-non-free/Dockerfile
dockerfiles/buster/Dockerfile
dockerfiles/jessie-non-free/Dockerfile
dockerfiles/jessie/Dockerfile
dockerfiles/sid-non-free/Dockerfile
dockerfiles/sid/Dockerfile
dockerfiles/stretch-non-free/Dockerfile
dockerfiles/stretch/Dockerfile
dockerfiles/trusty-non-free/Dockerfile
dockerfiles/trusty/Dockerfile
dockerfiles/wheezy-non-free/Dockerfile
dockerfiles/wheezy/Dockerfile
dockerfiles/xenial-non-free/Dockerfile
dockerfiles/xenial/Dockerfile
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
26,cfd613953f9b5547292cd9ec2c4debe37c3c4294,Wed,"gen_dockerfiles
","M
"
27,3af4359d1781af273f5fbc5aa8e6ff1055eb4aa4,Thu,,
28,88af27888a5aee76924c3b6840fc47f9cd8f63cb,Thu,"dockerfiles/bionic-non-free/Dockerfile
dockerfiles/bionic/Dockerfile
","A
A
"
29,64031a78749455e669de5389e0627b0791130be2,Wed,,
30,42ca1a963ea0f6e5d7b601f013af66922938b5a9,Tue,"dockerfiles/zesty-non-free/Dockerfile
dockerfiles/zesty/Dockerfile
","D
D
"
31,16393dd2b676c6128a4b9742cb51b9ce9ab7d436,Wed,,
32,d81fa21e36965ec77e3fab55a150d376d8a43eba,Wed,"gen_dockerfiles
","M
"
33,c821b4f9597e72015c34d4e9f81025815daebb71,Wed,,
34,4a411483c325628650023fcf6f7144685eaa8c09,Wed,"dockerfiles/artful-non-free/Dockerfile
dockerfiles/artful/Dockerfile
dockerfiles/buster-non-free/Dockerfile
dockerfiles/buster/Dockerfile
dockerfiles/jessie-non-free/Dockerfile
dockerfiles/jessie/Dockerfile
dockerfiles/sid-non-free/Dockerfile
dockerfiles/sid/Dockerfile
dockerfiles/stretch-non-free/Dockerfile
dockerfiles/stretch/Dockerfile
dockerfiles/trusty-non-free/Dockerfile
dockerfiles/trusty/Dockerfile
dockerfiles/wheezy-non-free/Dockerfile
dockerfiles/wheezy/Dockerfile
dockerfiles/xenial-non-free/Dockerfile
dockerfiles/xenial/Dockerfile
dockerfiles/zesty-non-free/Dockerfile
dockerfiles/zesty/Dockerfile
gen_dockerfiles
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
35,d5417d631fa1d8eafa139388157a5f117f804d74,Thu,"gen_dockerfiles
","M
"
36,c43616287c255b575407b1e899a21393d10e3bb6,Wed,"gen_dockerfiles
","M
"
37,ff9c3b42146d774585d860000e580ba7367d8101,Wed,"dockerfiles/artful-non-free/Dockerfile
dockerfiles/trusty-non-free/Dockerfile
dockerfiles/xenial-non-free/Dockerfile
dockerfiles/zesty-non-free/Dockerfile
","M
M
M
M
"
38,490dd1058ec52c2f79fed0f28eb132e5288dafd6,Wed,"dockerfiles/artful-non-free/Dockerfile
dockerfiles/buster-non-free/Dockerfile
dockerfiles/jessie-non-free/Dockerfile
dockerfiles/sid-non-free/Dockerfile
dockerfiles/stretch-non-free/Dockerfile
dockerfiles/trusty-non-free/Dockerfile
dockerfiles/wheezy-non-free/Dockerfile
dockerfiles/xenial-non-free/Dockerfile
dockerfiles/zesty-non-free/Dockerfile
","M
M
M
M
M
M
M
M
M
"
