,CommitID,Date,Dockerfiles,Status
0,9225c07b820b5fcb019633bbc3da527b81f11ff2,Thu,"20.0-beta/apache/Dockerfile
20.0-beta/fpm-alpine/Dockerfile
20.0-beta/fpm/Dockerfile
","M
M
M
"
1,323015718be9a2abacf9fb6213ddcf082db435a0,Thu,,
2,d062f5306cdc0e2ad2e79ba7d7cad02a487a8f9a,Thu,,
3,c20b15d30c64f66d1f6dbe847741d4b5d0af4ad9,Thu,"18.0-rc/apache/Dockerfile
18.0-rc/fpm-alpine/Dockerfile
18.0-rc/fpm/Dockerfile
19.0-rc/apache/Dockerfile
19.0-rc/fpm-alpine/Dockerfile
19.0-rc/fpm/Dockerfile
","D
D
D
D
D
D
"
4,d0ee4bc215e96245cd563114f15dc1146e7058c1,Thu,"18.0/apache/Dockerfile
18.0/fpm-alpine/Dockerfile
18.0/fpm/Dockerfile
19.0/apache/Dockerfile
19.0/fpm-alpine/Dockerfile
19.0/fpm/Dockerfile
","M
M
M
M
M
M
"
5,1e2c9961f7a42b864a1ba99527d82671eee78245,Sat,"18.0-rc/apache/Dockerfile
18.0-rc/fpm-alpine/Dockerfile
18.0-rc/fpm/Dockerfile
19.0-rc/apache/Dockerfile
19.0-rc/fpm-alpine/Dockerfile
19.0-rc/fpm/Dockerfile
","A
A
A
A
A
A
"
6,27587700ee5d24ec685c8a62154d398a6648f2da,Thu,,
7,1627a2cc700570966b0b8eedb0aa269f7b2576b4,Thu,"20.0-beta/apache/Dockerfile
20.0-beta/fpm-alpine/Dockerfile
20.0-beta/fpm/Dockerfile
","M
M
M
"
8,7d01c9607a647333ac51767053ab175f3b3b695a,Sat,,
9,27c54cdd9eb40acae42c7ccbfd45ca139c3f4236,Sat,,
10,e6f91b2fbdb23e870271e04e07d5491b482b5255,Fri,,
11,7a286da8c3afd91bec181529e9d447e280feaf3b,Fri,,
12,488378f8e88071a68bec5c0f846c294fb61ddd76,Fri,,
13,54c633c116833b1004e4f74c6568126c4f98a768,Fri,,
14,bda13d3ef3da1d130d063ec3c5efa6a5d4008b13,Fri,,
15,5f3072ea806d0de60c47069fd1ed5bb7f01704bd,Fri,,
16,47032fddb61b8cd89c88ee9c9e832f55cbba11f2,Fri,,
17,1eb77283c1f005b5eac08c293774d2055a77cc65,Tue,,
18,83b38c57a6c1b185744b9bb14794b57a7fbb148e,Thu,,
19,97f0fa6cc37b31a6a4a68a80f48450c90693e133,Fri,,
20,9faeb26025fd46b2364993ef9dbda9bb14fd1236,Thu,"20.0-beta/apache/Dockerfile
20.0-beta/fpm-alpine/Dockerfile
20.0-beta/fpm/Dockerfile
","A
A
A
"
21,0d84c2e085fa453bcf06ddcd388d8d71420691ff,Thu,,
22,288f9c09981b24f91d1d1082f8b7f83ccc648250,Thu,"20.0-beta/apache/Dockerfile
20.0-beta/fpm-alpine/Dockerfile
20.0-beta/fpm/Dockerfile
","D
D
D
"
23,079c2519a3106c1476968d1470b67541d9bb8294,Thu,,
24,1353c04b9fb456e76d1900be034aa746f878ac5f,Thu,"17.0-rc/apache/Dockerfile
17.0-rc/fpm-alpine/Dockerfile
17.0-rc/fpm/Dockerfile
17.0/apache/Dockerfile
17.0/fpm-alpine/Dockerfile
17.0/fpm/Dockerfile
18.0-rc/apache/Dockerfile
18.0-rc/fpm-alpine/Dockerfile
18.0-rc/fpm/Dockerfile
18.0/apache/Dockerfile
18.0/fpm-alpine/Dockerfile
18.0/fpm/Dockerfile
19.0-rc/apache/Dockerfile
19.0-rc/fpm-alpine/Dockerfile
19.0-rc/fpm/Dockerfile
19.0/apache/Dockerfile
19.0/fpm-alpine/Dockerfile
19.0/fpm/Dockerfile
20.0-beta/apache/Dockerfile
20.0-beta/fpm-alpine/Dockerfile
20.0-beta/fpm/Dockerfile
","D
D
D
M
M
M
D
D
D
M
M
M
D
D
D
M
M
M
M
M
M
"
