,CommitID,Date,Dockerfiles,Status
0,ad7718dc4b5e9a411270f4e7bf4456ec393cf217,Mon,"release/3.0.x/3.0.34-tp3/Dockerfile
release/3.0.x/3.0.34/Dockerfile
","A
A
"
1,5c4696ad7b0a24f6556aa6750ac66400e6837995,Fri,"release/3.1.x/3.1.2-tp3/Dockerfile
release/3.1.x/3.1.2/Dockerfile
","A
A
"
2,1a8b36554d56d9fbdf5f5647a6bb480ab9b41f24,Wed,"release/3.0.x/3.0.33-tp3/Dockerfile
release/3.0.x/3.0.33/Dockerfile
","A
A
"
3,aed159fad95d387cb6797559504596043b129f2f,Wed,"release/3.1.x/3.1.1-tp3/Dockerfile
release/3.1.x/3.1.1/Dockerfile
","A
A
"
4,912ed9d8302321cecc82e864901be0a595a56074,Wed,"release/3.0.x/3.0.32-tp3/Dockerfile
release/3.0.x/3.0.32/Dockerfile
","A
A
"
5,0562973e21d0992bc799dcb7b64b1978b7e32ac3,Wed,"release/3.1.x/3.1.0-tp3/Dockerfile
release/3.1.x/3.1.0/Dockerfile
","A
A
"
6,7893b07ad8f78b66f1c724244a88a70a05669e6e,Mon,"release/3.0.x/3.0.31-tp3/Dockerfile
release/3.0.x/3.0.31/Dockerfile
","A
A
"
7,76586496ae5457689bebdf76ebd267a3be1aa954,Fri,"release/3.0.x/3.0.30-tp3/Dockerfile
release/3.0.x/3.0.30/Dockerfile
","A
A
"
8,633d5e3553453ea144c2ced41e6108a254c9b11e,Wed,"release/2.2.x/2.2.37-spatial/Dockerfile
","A
"
9,9ebdf06bd1a53683a9ed821bcfd6940cad34c08d,Wed,"release/2.0.x/Dockerfile
","A
"
10,b914501b53fc55be09d4704525f31dc52eb0c79f,Wed,"release/2.1.x/Dockerfile
release/2.2.x/2.2.37/Dockerfile
release/3.0.x/3.0.29-tp3/Dockerfile
release/3.0.x/3.0.29/Dockerfile
","A
A
A
A
"
11,5fe31c9df18c7af09864cd44a92c824042a797a9,Wed,"2.0/Dockerfile
2.1/Dockerfile
2.2-spatial/x86_64/alpine/Dockerfile
2.2-spatial/x86_64/openjdk-slim/Dockerfile
2.2/ppc64le/ubuntu/Dockerfile
2.2/x86_64/alpine-ibm/Dockerfile
2.2/x86_64/alpine/Dockerfile
2.2/x86_64/openjdk-slim/Dockerfile
2.2/x86_64/rhel/Dockerfile
","M
M
M
M
M
M
M
M
M
"
12,1c8eb242184cd20c27399150435a9ea249c93f14,Mon,"3.0-spatial/x86_64/alpine/Dockerfile
3.0-spatial/x86_64/openjdk-slim/Dockerfile
3.0-tp3/x86_64/alpine/Dockerfile
3.0-tp3/x86_64/openjdk-slim/Dockerfile
3.0/arm64v8/alpine/Dockerfile
3.0/arm64v8/openjdk-slim/Dockerfile
3.0/ppc64le/ubuntu/Dockerfile
3.0/x86_64/alpine/Dockerfile
3.0/x86_64/openjdk-slim/Dockerfile
3.0/x86_64/rhel/Dockerfile
","M
M
M
M
M
M
M
M
M
M
"
13,87ebdb74ab7f79307a4e97c941102ed64132eeaf,Thu,"3.0-spatial/x86_64/alpine/Dockerfile
3.0-spatial/x86_64/openjdk-slim/Dockerfile
3.0-tp3/x86_64/alpine/Dockerfile
3.0-tp3/x86_64/openjdk-slim/Dockerfile
3.0/arm64v8/alpine/Dockerfile
3.0/arm64v8/openjdk-slim/Dockerfile
3.0/ppc64le/ubuntu/Dockerfile
3.0/x86_64/alpine/Dockerfile
3.0/x86_64/openjdk-slim/Dockerfile
3.0/x86_64/rhel/Dockerfile
","M
M
M
M
M
M
M
M
M
M
"
14,921c8ce663c3e7e9d44f2af3bdf7d5ba025b80b3,Tue,"3.0-spatial/x86_64/alpine/Dockerfile
3.0-spatial/x86_64/openjdk-slim/Dockerfile
3.0-tp3/x86_64/alpine/Dockerfile
3.0-tp3/x86_64/openjdk-slim/Dockerfile
3.0/arm64v8/alpine/Dockerfile
3.0/arm64v8/openjdk-slim/Dockerfile
3.0/ppc64le/ubuntu/Dockerfile
3.0/x86_64/alpine/Dockerfile
3.0/x86_64/openjdk-slim/Dockerfile
3.0/x86_64/rhel/Dockerfile
","M
M
M
M
M
M
M
M
M
M
"
15,7b1ce15dea42095fe5fc9c11ff0db708ca6f05cd,Tue,"3.0-spatial/x86_64/alpine/Dockerfile
3.0-spatial/x86_64/openjdk-slim/Dockerfile
3.0-tp3/x86_64/alpine/Dockerfile
3.0-tp3/x86_64/openjdk-slim/Dockerfile
3.0/arm64v8/alpine/Dockerfile
3.0/arm64v8/openjdk-slim/Dockerfile
3.0/ppc64le/ubuntu/Dockerfile
3.0/x86_64/alpine/Dockerfile
3.0/x86_64/openjdk-slim/Dockerfile
3.0/x86_64/rhel/Dockerfile
","M
M
M
M
M
M
M
M
M
M
"
