,CommitID,Date,Dockerfiles,Status
0,c063cc0766e0c197a2c73dde39b0148428b980f6,Sat,,
1,cf90c9d40d3cdbd66839edc297266b4c8a5e20fa,Sat,,
2,744021d51eabefc2d3fc9296ec8a4e968045ab4f,Sat,,
3,4328613da2ea1280622fd21b5c61623a30bce47b,Sat,,
4,31145793bded9b1440c5bcc8b4bfd906b484d992,Sat,,
5,a234085c46cadb87b352e16fe8081a5ee4ef5e94,Sat,"Dockerfile-alpine.template
Dockerfile-debian.template
apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
M
M
"
6,030a5298da9799580ae6ae41af938e89a75bfe90,Sat,,
7,ec2666e802babe1f886b88217ff321895ead2f26,Mon,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
8,c72c02d9e376975f453799ac7363dcf65d6c8107,Wed,,
9,b7a16d10abd85dd9bf6cbcf24843cf9d5cc7dbe7,Wed,"Dockerfile-alpine.template
Dockerfile-debian.template
apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
M
M
"
10,6d8ca27229625c42cc3314b9eeb3054185ef632d,Fri,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
11,5f0966ed08cf055472793309e070fd3caef5af2b,Tue,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
12,bb8c948d7c5cbf6ce23958d14549a0e157952dab,Tue,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
13,6342c0d540c313cd62a8ac076df39b7add4d3fff,Mon,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
14,ec16ac06900a6a163220184b2ba310a8980dbfe9,Mon,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
15,b1f8dae4968ff1f9a6aa1448e838fec167fa1411,Thu,,
16,3fd369b97d9274706e4f0a3a5999523ec68ce79e,Thu,,
17,1982726c8a349ea97abe0ff3a5354b8faa1afe19,Thu,"Dockerfile-alpine.template
Dockerfile-debian.template
apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
M
M
"
18,3cb80def34ef00f44ccf5cd6e3b640faf0683280,Thu,"Dockerfile-alpine.template
Dockerfile-debian.template
apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
M
M
"
19,cc86c302f51fc76f323e9d06610c574158a0263c,Thu,"Dockerfile-alpine.template
Dockerfile-debian.template
apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
M
M
"
20,1c6d233c84265f768aafb39925ccdc7e0431ae9f,Thu,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
21,2b454506ddc4ae786b53df86da35c4fcbc6a6337,Wed,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
22,a144c1f29560f114ec299ab8388060719ffd99f9,Tue,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
23,dc52ce5b12b7cee74e9afa26ee73af07c26e6012,Wed,,
24,0563b5002bde3017d69d85b8f3ea2b6791754113,Wed,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
25,13a4200cd68099e050dd4022edc876f2f96d4959,Wed,,
26,3a1b4686bbc52691655e73aa1c65a8a0ed037459,Tue,,
27,fc947cb3c9552877ccca710cce4ceef42a7c59d0,Tue,"Dockerfile-debian.template
apache/Dockerfile
fpm/Dockerfile
","M
M
M
"
28,487bc8f8efca0114a763afc194818db878c0f45c,Wed,,
29,689757368fff698888c004265e4de99d2bb70265,Wed,"Dockerfile-debian.template
apache/Dockerfile
fpm/Dockerfile
","M
M
M
"
30,c3bc18c223ee4327acf5506eed3f2ffe517a027a,Mon,"apache/Dockerfile
fpm-alpine/Dockerfile
fpm/Dockerfile
","M
M
M
"
