,CommitID,Date,Dockerfiles,Status
0,951343bef4867540886b559a8c1fece56a1b6fd3,Fri,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
1,5603542b7ed9929afe03cb1145819980ec3f76b4,Mon,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
2,e24fe8f7c3d4983bc54947b4cc6116b3cfc7ef20,Thu,,
3,243f21745e8ddea87aaa9be37caeacd860c0f3e8,Tue,"11/mysql-tomcat/Dockerfile
11/postgres-tomcat/Dockerfile
","M
M
"
4,aa5833b1b1f8c43c75f27a3f1de846818c2df4da,Fri,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
5,09c408b0cb37dba527021a35504afacbc1d55d4a,Wed,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
6,f789f9e2a10c1a54cfd5bdb070a9259c17422c53,Mon,"11/mysql-tomcat/Dockerfile
12/mysql-tomcat/Dockerfile
template/Dockerfile
","M
M
M
"
7,54e7840854ac30c3dc5ff243939848a987e56768,Thu,"11/mysql-tomcat/Dockerfile
11/postgres-tomcat/Dockerfile
","M
M
"
8,5ea67a7448d70a752cd25a24ac5a8209d9eca476,Wed,"11/mysql-tomcat/Dockerfile
11/postgres-tomcat/Dockerfile
","M
M
"
9,55257cda96effe2bedc6ae5dd0e7cbeedda634f8,Fri,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
10,2e7b23438ab6579df9180fed6f5bca33d1f09a74,Wed,,
11,9fd38a6d91a348910f282982d5d05278eecb318a,Wed,,
12,19734db8bdce7d8b3fb15d3eb77b6c9aa2795d83,Wed,,
13,5e67746d469fb430009fbac683b35ece8da2672a,Mon,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
14,bc763261e6c6c5b7abaa476f455964c825d326be,Thu,,
15,b01f45a4b8dfd70bbc551cb0ae1e6c61fb936820,Tue,,
16,16358fdb8353d56733db07b7bd2c25420fe69497,Tue,,
17,59dccc9aa026be2f1c12192660b0bedd7503c8bd,Tue,,
18,6736aab2e7749d8fbcebd1d33ceeabe26f4166df,Tue,,
19,a492d3172e0f33c5c246b024588725de27ce33d1,Tue,,
20,985ebabbe473debecf51d12307259d312d663dc5,Thu,,
21,888da5534af373d43d30ac2c3e3d088f67b8a62d,Mon,"11/mysql-tomcat/Dockerfile
11/postgres-tomcat/Dockerfile
12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
template/Dockerfile
","M
M
M
M
M
"
22,dc7eab5d121ed13a3e426cac934f41787306128f,Fri,,
23,2ab4d62607d91881259d31471ea26f1fb31cd00e,Fri,,
24,cf57e13b53063f70868cdae3185d7b78a87464d5,Fri,,
25,fba6a253e6190be6d01723c44fdb827d7b74dc8b,Tue,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
26,b7e134766764288dc5d24f2af6a152d0cb5bb226,Mon,,
27,2b2aaa2547d6104b7158aac6b9030d8cffde5dc1,Mon,,
28,f6c69a5d6c525829713209cb2a0d8ce14b8a5038,Fri,"11/mysql-tomcat/Dockerfile
11/postgres-tomcat/Dockerfile
","M
M
"
29,ebb23e6def6d52dc5dc79bb5844f71f68aba0728,Thu,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
30,d149e7d9e4e64dc413b7bd241b0a312e8450def3,Sun,,
31,922f4f2cdcad159e9d2cc5cde6c2cac438d4ad96,Sun,,
32,780adea6f7451c4513c35dc4bd327142a0d727b2,Thu,,
33,4b08b0e77707754077c5815d51c058c376e21892,Tue,,
34,aea72917aaaa1a4a85f088e40b022f01e4557c20,Tue,,
35,6a13e7ac9bf24969d3605280430a208b4ee0ad1e,Mon,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
36,cab959829bd94668a5a6624aa370eb42e8a7c2b1,Mon,"11/mysql-tomcat/Dockerfile
11/postgres-tomcat/Dockerfile
","M
M
"
37,71d038e83974df2290fafb78ade44846163ea3d7,Thu,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
38,8d700c23be118b0ff8eb49bf7b82862014bd52dc,Mon,"12/mysql-tomcat/Dockerfile
12/postgres-tomcat/Dockerfile
","M
M
"
39,6e2dbe9f61c3ecc44099b7e2860435fc89cd2ebf,Wed,"11/mysql-tomcat/Dockerfile
11/postgres-tomcat/Dockerfile
","M
M
"
40,135e858f6ed37d581f929b10a2f5d1ed83f759d4,Wed,"10/mysql-tomcat/Dockerfile
10/postgres-tomcat/Dockerfile
","D
D
"
