,CommitID,Dockerfile,Comment
0,cca6ef6c594f84b1bb7f07860c612d2d9fdc4f26,/Dockerfile,# Pull base image
1,cca6ef6c594f84b1bb7f07860c612d2d9fdc4f26,/Dockerfile,"# pub   2048R/385B4D59 2015-07-01 [expires: 2017-12-08]
#       Key fingerprint = F8F4 B66E 022A 4668 E532  DAC0 3AA0 B82C 385B 4D59
# uid                  Kaazing build <build@kaazing.com>
# sub   2048R/26C0219B 2015-07-01 [expires: 2017-12-08]"
2,cca6ef6c594f84b1bb7f07860c612d2d9fdc4f26,/Dockerfile,# Set Working Dir
3,cca6ef6c594f84b1bb7f07860c612d2d9fdc4f26,/Dockerfile,# Get the latest stable version of gateway
4,cca6ef6c594f84b1bb7f07860c612d2d9fdc4f26,/Dockerfile,"# By default, Java uses /dev/random to gather entropy data for cryptographic
# needs. However, using /dev/random can cause delays during Gateway startup,
# especially in virtualized environments. /dev/urandom does not require
# collection of entropy data in subsequent runs.
# See: https://github.com/kaazing/gateway/issues/167"
5,cca6ef6c594f84b1bb7f07860c612d2d9fdc4f26,/Dockerfile,# add new files to the path
6,cca6ef6c594f84b1bb7f07860c612d2d9fdc4f26,/Dockerfile,# Expose Ports
7,cca6ef6c594f84b1bb7f07860c612d2d9fdc4f26,/Dockerfile,# Define default command
8,ac770a336be9aaf6c5354f58ef3ffeb921770498,/Dockerfile,# Pull base image
9,ac770a336be9aaf6c5354f58ef3ffeb921770498,/Dockerfile,"# pub   2048R/385B4D59 2015-07-01 [expires: 2017-12-08]
#       Key fingerprint = F8F4 B66E 022A 4668 E532  DAC0 3AA0 B82C 385B 4D59
# uid                  Kaazing build <build@kaazing.com>
# sub   2048R/26C0219B 2015-07-01 [expires: 2017-12-08]"
10,ac770a336be9aaf6c5354f58ef3ffeb921770498,/Dockerfile,# Set Working Dir
11,ac770a336be9aaf6c5354f58ef3ffeb921770498,/Dockerfile,# Get the latest stable version of gateway
12,ac770a336be9aaf6c5354f58ef3ffeb921770498,/Dockerfile,"# By default, Java uses /dev/random to gather entropy data for cryptographic
# needs. However, using /dev/random can cause delays during Gateway startup,
# especially in virtualized environments. /dev/urandom does not require
# collection of entropy data in subsequent runs.
# See: https://github.com/kaazing/gateway/issues/167"
13,ac770a336be9aaf6c5354f58ef3ffeb921770498,/Dockerfile,# add new files to the path
14,ac770a336be9aaf6c5354f58ef3ffeb921770498,/Dockerfile,# Expose Ports
15,ac770a336be9aaf6c5354f58ef3ffeb921770498,/Dockerfile,# Define default command
16,aee072bc584c7845246e5298031761ed375a8e64,/Dockerfile,# Pull base image
17,aee072bc584c7845246e5298031761ed375a8e64,/Dockerfile,"# pub   2048R/385B4D59 2015-07-01 [expires: 2017-12-08]
#       Key fingerprint = F8F4 B66E 022A 4668 E532  DAC0 3AA0 B82C 385B 4D59
# uid                  Kaazing build <build@kaazing.com>
# sub   2048R/26C0219B 2015-07-01 [expires: 2017-12-08]"
18,aee072bc584c7845246e5298031761ed375a8e64,/Dockerfile,# Set Working Dir
19,aee072bc584c7845246e5298031761ed375a8e64,/Dockerfile,# Get the latest stable version of gateway
20,aee072bc584c7845246e5298031761ed375a8e64,/Dockerfile,"# By default, Java uses /dev/random to gather entropy data for cryptographic
# needs. However, using /dev/random can cause delays during Gateway startup,
# especially in virtualized environments. /dev/urandom does not require
# collection of entropy data in subsequent runs.
# See: https://github.com/kaazing/gateway/issues/167"
21,aee072bc584c7845246e5298031761ed375a8e64,/Dockerfile,# add new files to the path
22,aee072bc584c7845246e5298031761ed375a8e64,/Dockerfile,# Expose Ports
23,aee072bc584c7845246e5298031761ed375a8e64,/Dockerfile,# Define default command
24,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,# Pull base image
25,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,"# pub   2048R/385B4D59 2015-07-01 [expires: 2017-12-08]
#       Key fingerprint = F8F4 B66E 022A 4668 E532  DAC0 3AA0 B82C 385B 4D59
# uid                  Kaazing build <build@kaazing.com>
# sub   2048R/26C0219B 2015-07-01 [expires: 2017-12-08]"
26,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,# Set Working Dir
27,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,# Get the latest stable version of gateway
28,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,"# By default, Java uses /dev/random to gather entropy data for cryptographic
# needs. However, using /dev/random can cause delays during Gateway startup,
# especially in virtualized environments. /dev/urandom does not require
# collection of entropy data in subsequent runs.
# See: https://github.com/kaazing/gateway/issues/167"
29,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,# add new files to the path
30,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,# Expose Ports
31,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,# Adding support for ambassador-pattern
32,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,#
33,16062e32c1da4654bb786ea090e7e69da2fcd0d2,/Dockerfile,"#
# Define default command"
34,28280136910a7519933e1b40d239ebe9fe44f73a,/Dockerfile,# Pull base image
35,28280136910a7519933e1b40d239ebe9fe44f73a,/Dockerfile,"# pub   2048R/385B4D59 2015-07-01 [expires: 2017-12-08]
#       Key fingerprint = F8F4 B66E 022A 4668 E532  DAC0 3AA0 B82C 385B 4D59
# uid                  Kaazing build <build@kaazing.com>
# sub   2048R/26C0219B 2015-07-01 [expires: 2017-12-08]"
36,28280136910a7519933e1b40d239ebe9fe44f73a,/Dockerfile,# Set Working Dir
37,28280136910a7519933e1b40d239ebe9fe44f73a,/Dockerfile,# Get the latest stable version of gateway
38,28280136910a7519933e1b40d239ebe9fe44f73a,/Dockerfile,"# By default, Java uses /dev/random to gather entropy data for cryptographic
# needs. However, using /dev/random can cause delays during Gateway startup,
# especially in virtualized environments. /dev/urandom does not require
# collection of entropy data in subsequent runs.
# See: https://github.com/kaazing/gateway/issues/167"
39,28280136910a7519933e1b40d239ebe9fe44f73a,/Dockerfile,# add new files to the path
40,28280136910a7519933e1b40d239ebe9fe44f73a,/Dockerfile,# Expose Ports
41,28280136910a7519933e1b40d239ebe9fe44f73a,/Dockerfile,# Define default command
42,a2d4f3e09c1ba2f4bb77f072a77e453245e11781,/Dockerfile,# Pull base image
43,a2d4f3e09c1ba2f4bb77f072a77e453245e11781,/Dockerfile,"# pub   2048R/385B4D59 2015-07-01 [expires: 2017-12-08]
#       Key fingerprint = F8F4 B66E 022A 4668 E532  DAC0 3AA0 B82C 385B 4D59
# uid                  Kaazing build <build@kaazing.com>
# sub   2048R/26C0219B 2015-07-01 [expires: 2017-12-08]"
44,a2d4f3e09c1ba2f4bb77f072a77e453245e11781,/Dockerfile,# Set Working Dir
45,a2d4f3e09c1ba2f4bb77f072a77e453245e11781,/Dockerfile,# Get the latest stable version of gateway
46,a2d4f3e09c1ba2f4bb77f072a77e453245e11781,/Dockerfile,"# By default, Java uses /dev/random to gather entropy data for cryptographic
# needs. However, using /dev/random can cause delays during Gateway startup,
# especially in virtualized environments. /dev/urandom does not require
# collection of entropy data in subsequent runs.
# See: https://github.com/kaazing/gateway/issues/167"
47,a2d4f3e09c1ba2f4bb77f072a77e453245e11781,/Dockerfile,# add new files to the path
48,a2d4f3e09c1ba2f4bb77f072a77e453245e11781,/Dockerfile,# Expose Ports
