,CommitID,Dockerfile,Comment,isSATD
0,ebede7cd81c55fe98d0b9295cada55732b2be785,/Dockerfile,"## Start Hack
## All of this needed because of missing 8.11.x tag.  Once we update to 8.15 we can resume using Dockerfile.old or remove hack and use FROM node:8.15-slim

## Installing Node.js

# gpg keys listed at https://github.com/nodejs/node
",1
1,ebede7cd81c55fe98d0b9295cada55732b2be785,/Dockerfile," ## End Hack

## Actual Rocket.Chat stuff
",1
46,608da876a8d8b20dfba29528b29ca49aab9d243f,/Dockerfile,"## Start Hack
",1
47,608da876a8d8b20dfba29528b29ca49aab9d243f,/Dockerfile,"## All of this needed because of missing 8.11.x tag.  Once we update to 8.15+ we can resume using Dockerfile.old or remove hack and use FROM node:8-slim

## Installing Node.js
",1
48,608da876a8d8b20dfba29528b29ca49aab9d243f,/Dockerfile,"## End Hack

## Actual Rocket.Chat stuff
",1
63,4ef9f0e3e9f05c8adda8c98a9a6e31ae2e46ec91,/Dockerfile,"## Start Hack
",1
64,4ef9f0e3e9f05c8adda8c98a9a6e31ae2e46ec91,/Dockerfile,"## All of this needed because of missing 8.11.x tag.  Once we update to 8.15+ we can resume using Dockerfile.old or remove hack and use FROM node:8-slim

## Installing Node.js
",1
65,4ef9f0e3e9f05c8adda8c98a9a6e31ae2e46ec91,/Dockerfile,"## End Hack

## Actual Rocket.Chat stuff
",1
71,790b7cd55f8611646b4f917eaaf3b1b5a87311b6,/Dockerfile,"## Start Hack
",1
72,790b7cd55f8611646b4f917eaaf3b1b5a87311b6,/Dockerfile,"## All of this needed because of missing 8.11.x tag.  Once we update to 8.15+ we can resume using Dockerfile.old or remove hack and use FROM node:8-slim

## Installing Node.js
",1
73,790b7cd55f8611646b4f917eaaf3b1b5a87311b6,/Dockerfile,"## End Hack

## Actual Rocket.Chat stuff
",1
85,818db3f141e9f6e7d1a3374e4eaf586d118da0e1,/Dockerfile,"## Start Hack
",1
86,818db3f141e9f6e7d1a3374e4eaf586d118da0e1,/Dockerfile,"## All of this needed because of missing 8.11.x tag.  Once we update to 8.15+ we can resume using Dockerfile.old or remove hack and use FROM node:8-slim

## Installing Node.js
",1
87,818db3f141e9f6e7d1a3374e4eaf586d118da0e1,/Dockerfile,"## End Hack

## Actual Rocket.Chat stuff
",1
93,bc8660278c827b638451b941fed8a57fb4775b9f,/Dockerfile,"## Start Hack
",1
94,bc8660278c827b638451b941fed8a57fb4775b9f,/Dockerfile,"## All of this needed because of missing 8.11.x tag.  Once we update to 8.15+ we can resume using Dockerfile.old or remove hack and use FROM node:8-slim

## Installing Node.js
",1
95,bc8660278c827b638451b941fed8a57fb4775b9f,/Dockerfile,"## End Hack

## Actual Rocket.Chat stuff
",1
116,1a592ab2c5ca235e6ac2fa265f65d294490c044c,/Dockerfile,"## Start Hack
",1
117,1a592ab2c5ca235e6ac2fa265f65d294490c044c,/Dockerfile,"## All of this needed because of missing 8.11.x tag.  Once we update to 8.15+ we can resume using Dockerfile.old or remove hack and use FROM node:8-slim

## Installing Node.js
",1
118,1a592ab2c5ca235e6ac2fa265f65d294490c044c,/Dockerfile,"## End Hack

## Actual Rocket.Chat stuff
",1
195,022483549bdf709aef768fa26afa107b6f06cbb3,/Dockerfile,"## Start Hack
",1
196,022483549bdf709aef768fa26afa107b6f06cbb3,/Dockerfile,"## All of this needed because of missing 8.11.x tag.  Once we update to 8.15+ we can resume using Dockerfile.old or remove hack and use FROM node:8-slim

## Installing Node.js
",1
197,022483549bdf709aef768fa26afa107b6f06cbb3,/Dockerfile,"## End Hack

## Actual Rocket.Chat stuff
",1
209,bd658830191d76fe6a776ea26b78efe7cbf1434b,/Dockerfile,"## Start Hack
",1
