,CommitID,Dockerfiles,Comments,isSATD
28,1b36753550afda4dd1227e883ddb2bb50b30c810,/5.0/alpine/Dockerfile,"# TODO https://github.com/redis/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
40,b6d413ceff3a2bca10a430ace121597fa8fe2a2c,/4.0/32bit/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
54,d42494ab2d96070c8d83f37a7542fbbffd999988,/5.0/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
64,3a0b4f1d370e4efd30a0db32b0e0cf878f3133d3,/6.0/alpine/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
84,b6d413ceff3a2bca10a430ace121597fa8fe2a2c,/4.0/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
95,9c9d49d25acd7428ea30669f0395506f4a7f78fc,/6.0/alpine/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
103,d122863aaf4f9e4c788368a11651c5e23a32c65c,/6.0-rc/alpine/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
141,d122863aaf4f9e4c788368a11651c5e23a32c65c,/6.0-rc/32bit/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
176,d875ae032d7fdcf380a5506c714b2844af3cd2a1,/4.0/32bit/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
210,a12431fe712de586182cdf0ef4fd191b8e0bd196,/5.0/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
223,082c62d1adc4fc787e07d1d32c93db954ad6ad5f,/6.0-rc/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
257,f6496e4885b8b43e375adaf230354d4076858c8a,/5.0/alpine/Dockerfile,"# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)
",1
