,CommitID,Dockerfile,Comment,isSATD
8,d4fc35af9474fbcad44ec8ed9aac4be8672eb736,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
20,60dcf87cc08bef7d45f1b376fe54374c3c1f99a1,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
27,525bc9ef7a43e4f8a6120386435c8d94fb074820,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
28,0c6fce271e949955693ed86461d8a0e6adcd18d4,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
29,836fc569014de13181793599f50060b2c1e07729,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
44,c6c57fcf49c9f967616898998a55188dd8b94b9e,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
59,993bada521a325910032399f51e8773aa6a90eaf,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
68,f472fd545be79860a3c9e03b6e63fbacb86977d1,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
73,9f734f7c53d5ec6d892ea51fdf1c626773a1fd89,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
75,f935791a02b97d6bb7893787c8637eeda06c3c85,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
85,9973f051ba506eae4a60a5f302c2328667ce9707,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
107,2e31ebba6ad7828a8df91004215af1482da8c59e,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
138,a2cdffeeee4802882ac88ccc0159e6f2297fe52f,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
153,85d940909e941915ea5a5e1e5c2f8bd0a086948e,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
157,2c668e237d07b518630139b185f3337dbcbd5250,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
172,a259c48ae9755e292dab9ca11cf0307feab8007b,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
176,f2a43d755e351a415fe426ad92c9ee75387ef51d,/Dockerfile,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",1
