,CommitID,Dockerfile,Comment,isSATD
25,2f563b6609c5f178796563bae0e3e5cbac79565a,/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",1
86,f1cd6b65d596f5d85a348883363b8b95479faa8e,/Dockerfile,"    # VisualEditor
    # TODO: make submodules shallow clones?
",1
254,9bdcc59dc6ae7bf40eb7d23c6c0d3b133f174146,/dev/Dockerfile,"	# Extensions
	# TODO: make submodules shallow clones?
",1
424,4b8cc73503e4fadd6f2b01eba840fa787a0d0ee3,/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",1
443,fa3b01397f28018ab44b31683b67b00e5db49a07,/dev/Dockerfile,"	# Extensions
	# TODO: make submodules shallow clones?
",1
583,2f0158777553027abcf91605887235c74c644689,/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",1
638,8b6397888af7e165e1e1494c6be823a151b616c2,/Dockerfile,"# TODO: Switch to debian sid

",1
643,8b6397888af7e165e1e1494c6be823a151b616c2,/Dockerfile,"    # VisualEditor
    # TODO: make submodules shallow clones?
",1
1039,952048ca5269d8bf3404f6c8c129df7533bf48e1,/Dockerfile,"    # VisualEditor
    # TODO: make submodules shallow clones?
",1
1058,75bc7b69c23d24bd5162357ab847ec001a8cb6b3,/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",1
1091,d254f8c01cd0bbbed38bc0c71d0d70066d6fbbb4,/dev/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",1
1106,1828584c75e34ee08f12427e64d907f469cbab7c,/Dockerfile,"    # VisualEditor
    # TODO: make submodules shallow clones?
",1
1368,325614c1a285bc049f7bb0a18aef33a9e409c9f2,/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",1
