,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList
0,336871eaeddbf2e61ba3ca61cad33221f83cc710,4.2/windows/windowsservercore-1809/Dockerfile,4.2/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-04-20 16:01:19+00:00,2019-12-03 09:26:28-08:00,,4.2/windows/windowsservercore-1809/Dockerfile
1,336871eaeddbf2e61ba3ca61cad33221f83cc710,4.2/windows/windowsservercore-ltsc2016/Dockerfile,4.2/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-04-20 16:01:19+00:00,2018-07-17 14:11:36-07:00,,4.2/windows/windowsservercore-ltsc2016/Dockerfile
2,336871eaeddbf2e61ba3ca61cad33221f83cc710,4.2/Dockerfile,4.2/Dockerfile,# TODO some sort of download verification here,2020-04-20 16:01:19+00:00,2018-07-17 14:11:36-07:00,,4.2/Dockerfile
3,a499e81e743b05a5237e2fd700c0284b17d3d416,3.4/Dockerfile,3.4/Dockerfile,# TODO some sort of download verification here,2018-07-10 10:01:13+00:00,2016-11-01 13:59:57-07:00,2020-02-07 15:52:58-08:00,3.4/Dockerfile
4,5ab118c15c474192dc6ab058e5cb370b73ced636,3.4/windows/windowsservercore-ltsc2016/Dockerfile,3.4/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-01-23 05:01:23+00:00,2017-11-22 14:27:49-08:00,2020-02-07 15:52:58-08:00,3.4/windows/windowsservercore-ltsc2016/Dockerfile
5,5ab118c15c474192dc6ab058e5cb370b73ced636,3.4/Dockerfile,3.4/Dockerfile,# TODO some sort of download verification here,2019-01-23 05:01:23+00:00,2016-11-01 13:59:57-07:00,2020-02-07 15:52:58-08:00,3.4/Dockerfile
6,5ab118c15c474192dc6ab058e5cb370b73ced636,3.4/windows/windowsservercore-1709/Dockerfile,3.4/windows/windowsservercore-1709/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-01-23 05:01:23+00:00,2016-08-17 15:14:23-07:00,2019-04-11 16:27:32-07:00,3.4/windows/windowsservercore-1709/Dockerfile
7,e38e0e830c833d5bab401cd0f37fcb0eadbd3577,3.6/Dockerfile,3.6/Dockerfile,# TODO some sort of download verification here,2019-07-02 15:08:52-07:00,2017-11-22 16:40:34-08:00,,3.6/Dockerfile
8,e38e0e830c833d5bab401cd0f37fcb0eadbd3577,4.0/Dockerfile,4.0/Dockerfile,# TODO some sort of download verification here,2019-07-02 15:08:52-07:00,2018-05-22 08:18:05-07:00,,4.0/Dockerfile
9,e38e0e830c833d5bab401cd0f37fcb0eadbd3577,4.2-rc/Dockerfile,4.2-rc/Dockerfile,# TODO some sort of download verification here,2019-07-02 15:08:52-07:00,2019-06-12 16:19:52-07:00,2019-08-13 09:19:51-07:00,4.2-rc/Dockerfile
10,e38e0e830c833d5bab401cd0f37fcb0eadbd3577,4.1/Dockerfile,4.2/Dockerfile,# TODO some sort of download verification here,2019-07-02 15:08:52-07:00,2018-07-17 14:11:36-07:00,,4.1/Dockerfile
11,e38e0e830c833d5bab401cd0f37fcb0eadbd3577,3.4/Dockerfile,3.4/Dockerfile,# TODO some sort of download verification here,2019-07-02 15:08:52-07:00,2016-11-01 13:59:57-07:00,2020-02-07 15:52:58-08:00,3.4/Dockerfile
