,CommitID,Dockerfiles,LatestDockerfile,Comments,Date,FirstCommit Date,Deleted Date,isSATD
0,2f563b6609c5f178796563bae0e3e5cbac79565a,Dockerfile,1.23/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",Thu Jun 8 07:28:42 2017 -0700,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
1,f1cd6b65d596f5d85a348883363b8b95479faa8e,Dockerfile,1.23/Dockerfile,"    # VisualEditor
    # TODO: make submodules shallow clones?
",Mon Dec 28 12:47:02 2015 -0800,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
2,9bdcc59dc6ae7bf40eb7d23c6c0d3b133f174146,dev/Dockerfile,dev/Dockerfile,"	# Extensions
	# TODO: make submodules shallow clones?
",Thu Jun 27 23:31:27 2019 +0200,Wed Dec 20 18:08:32 2017 +0100,,1
3,4b8cc73503e4fadd6f2b01eba840fa787a0d0ee3,Dockerfile,1.23/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",Wed Jun 7 16:19:41 2017 -0700,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
4,2f0158777553027abcf91605887235c74c644689,Dockerfile,1.23/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",Mon Jun 12 16:41:34 2017 -0300,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
5,8b6397888af7e165e1e1494c6be823a151b616c2,Dockerfile,1.23/Dockerfile,"# TODO: Switch to debian sid

",Fri Dec 18 17:39:34 2015 -0800,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
6,8b6397888af7e165e1e1494c6be823a151b616c2,Dockerfile,1.23/Dockerfile,"    # VisualEditor
    # TODO: make submodules shallow clones?
",Fri Dec 18 17:39:34 2015 -0800,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
7,952048ca5269d8bf3404f6c8c129df7533bf48e1,Dockerfile,1.23/Dockerfile,"    # VisualEditor
    # TODO: make submodules shallow clones?
",Mon Jun 5 18:22:43 2017 -0700,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
8,75bc7b69c23d24bd5162357ab847ec001a8cb6b3,Dockerfile,1.23/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",Thu Jun 8 12:54:34 2017 -0700,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
9,d254f8c01cd0bbbed38bc0c71d0d70066d6fbbb4,dev/Dockerfile,dev/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",Wed Dec 20 18:08:32 2017 +0100,Wed Dec 20 18:08:32 2017 +0100,,1
10,1828584c75e34ee08f12427e64d907f469cbab7c,Dockerfile,1.23/Dockerfile,"    # VisualEditor
    # TODO: make submodules shallow clones?
",Fri Dec 18 20:28:17 2015 -0800,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
11,325614c1a285bc049f7bb0a18aef33a9e409c9f2,Dockerfile,1.23/Dockerfile,"    # Extensions
    # TODO: make submodules shallow clones?
",Mon Jun 12 16:22:58 2017 -0300,Fri Oct 10 18:48:30 2014 +0000,Thu Aug 13 17:24:50 2015 -0400,1
