,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,isSATD,DeletedComment Date,Deleted CommitID
50,6b303c84f063bea2bc3bc86dc86c4db1f3a8b5d3,glibc/Dockerfile.builder,glibc/Dockerfile.builder,"# TODO remove CONFIG_FEATURE_SYNC_FANCY from this explicit list after the next release of busybox (since it's disabled by default upstream now)
# As long as we rely on libnss, we have to have libc.so anyhow, so
# we've removed CONFIG_STATIC here for now... :cry:
",2016-01-07 18:46:41+00:00,2016-01-07 10:46:41-08:00,,1,2016-10-07 16:56:40+00:00,4629888e69e7b69b594aec10529f8ca4a2fa31e7
51,6b303c84f063bea2bc3bc86dc86c4db1f3a8b5d3,glibc/Dockerfile.builder,glibc/Dockerfile.builder,"# hack hack hack hack hack
# with glibc, static busybox uses libnss for DNS resolution :(
",2016-01-07 18:46:41+00:00,2016-01-07 10:46:41-08:00,,1,,
83,4629888e69e7b69b594aec10529f8ca4a2fa31e7,glibc/Dockerfile.builder,glibc/Dockerfile.builder,"# TODO remove CONFIG_FEATURE_SYNC_FANCY from this explicit list after the next release of busybox (since it's disabled by default upstream now)
# CONFIG_LAST_SUPPORTED_WCHAR: see https://github.com/docker-library/busybox/issues/13 (UTF-8 input)
# As long as we rely on libnss, we have to have libc.so anyhow, so
# we've removed CONFIG_STATIC here for now... :cry:
",2016-10-07 16:56:40+00:00,2016-01-07 10:46:41-08:00,,1,2017-05-15 20:19:17+00:00,8b0d96682de7f70e9a67bc9ab1a488da289ede38
103,8b0d96682de7f70e9a67bc9ab1a488da289ede38,glibc/Dockerfile.builder,glibc/Dockerfile.builder,"# TODO remove CONFIG_FEATURE_SYNC_FANCY from this explicit list after the next release of busybox (since it's disabled by default upstream now; 1.27+)
# CONFIG_LAST_SUPPORTED_WCHAR: see https://github.com/docker-library/busybox/issues/13 (UTF-8 input)
# As long as we rely on libnss, we have to have libc.so anyhow, so
# we've removed CONFIG_STATIC here for now... :cry:
",2017-05-15 20:19:17+00:00,2016-01-07 10:46:41-08:00,,1,2017-05-15 20:35:38+00:00,0f16e461f1ec7482fd5784e0b9667d5be266fa7f
7,ba116f6e8efbad7f8d837d530a7dcd48da6c2b55,upstream/Dockerfile.builder,uclibc/Dockerfile.builder,"# TODO remove CONFIG_FEATURE_SYNC_FANCY from this explicit list after the next release of busybox (since it's disabled by default upstream now)
",2015-10-14 17:57:39+00:00,2015-02-02 23:02:09-07:00,,1,2016-10-07 16:56:40+00:00,4629888e69e7b69b594aec10529f8ca4a2fa31e7
85,4629888e69e7b69b594aec10529f8ca4a2fa31e7,uclibc/Dockerfile.builder,uclibc/Dockerfile.builder,"# TODO remove CONFIG_FEATURE_SYNC_FANCY from this explicit list after the next release of busybox (since it's disabled by default upstream now)
# CONFIG_LAST_SUPPORTED_WCHAR: see https://github.com/docker-library/busybox/issues/13 (UTF-8 input)
",2016-10-07 16:56:40+00:00,2015-02-02 23:02:09-07:00,,1,2017-05-15 20:19:17+00:00,8b0d96682de7f70e9a67bc9ab1a488da289ede38
106,8b0d96682de7f70e9a67bc9ab1a488da289ede38,uclibc/Dockerfile.builder,uclibc/Dockerfile.builder,"# TODO remove CONFIG_FEATURE_SYNC_FANCY from this explicit list after the next release of busybox (since it's disabled by default upstream now; 1.27+)
# CONFIG_LAST_SUPPORTED_WCHAR: see https://github.com/docker-library/busybox/issues/13 (UTF-8 input)
",2017-05-15 20:19:17+00:00,2015-02-02 23:02:09-07:00,,1,2017-07-01 17:11:33+00:00,4bede2d8a0805ac73ce3c04f430a03bccb8f88e9
259,4bede2d8a0805ac73ce3c04f430a03bccb8f88e9,uclibc/Dockerfile.builder,uclibc/Dockerfile.builder,"# TODO s390x ? (needs BR2_TOOLCHAIN_BUILDROOT_UCLIBC support)
",2017-07-01 17:11:33+00:00,2015-02-02 23:02:09-07:00,,1,,
258,4bede2d8a0805ac73ce3c04f430a03bccb8f88e9,uclibc/Dockerfile.builder,uclibc/Dockerfile.builder,"# TODO ppc64el ? (needs BR2_TOOLCHAIN_BUILDROOT_UCLIBC support)
",2017-07-01 17:11:33+00:00,2015-02-02 23:02:09-07:00,,1,,
48,6b303c84f063bea2bc3bc86dc86c4db1f3a8b5d3,musl/Dockerfile.builder,musl/Dockerfile.builder,"# see http://wiki.musl-libc.org/wiki/Building_Busybox
# TODO remove CONFIG_FEATURE_SYNC_FANCY from this explicit list after the next release of busybox (since it's disabled by default upstream now)
",2016-01-07 18:46:41+00:00,2016-01-07 10:46:41-08:00,,1,2016-10-07 16:56:40+00:00,4629888e69e7b69b594aec10529f8ca4a2fa31e7
82,4629888e69e7b69b594aec10529f8ca4a2fa31e7,musl/Dockerfile.builder,musl/Dockerfile.builder,"# TODO remove CONFIG_FEATURE_SYNC_FANCY from this explicit list after the next release of busybox (since it's disabled by default upstream now)
# CONFIG_LAST_SUPPORTED_WCHAR: see https://github.com/docker-library/busybox/issues/13 (UTF-8 input)
# see http://wiki.musl-libc.org/wiki/Building_Busybox
",2016-10-07 16:56:40+00:00,2016-01-07 10:46:41-08:00,,1,2017-05-15 20:19:17+00:00,8b0d96682de7f70e9a67bc9ab1a488da289ede38
105,8b0d96682de7f70e9a67bc9ab1a488da289ede38,musl/Dockerfile.builder,musl/Dockerfile.builder,"# TODO remove CONFIG_FEATURE_SYNC_FANCY from this explicit list after the next release of busybox (since it's disabled by default upstream now; 1.27+)
# CONFIG_LAST_SUPPORTED_WCHAR: see https://github.com/docker-library/busybox/issues/13 (UTF-8 input)
# see http://wiki.musl-libc.org/wiki/Building_Busybox
",2017-05-15 20:19:17+00:00,2016-01-07 10:46:41-08:00,,1,,
247,c28aca6a64e108187f75d573e680cea20893615a,ubuntu/Dockerfile.builder,ubuntu/Dockerfile.builder,"# hack hack hack hack hack
# with glibc, static busybox uses libnss for DNS resolution :(
",2015-10-19 18:07:42+00:00,2015-09-14 16:25:26-07:00,2016-01-11 07:39:24-08:00,1,2016-01-11 07:39:24-08:00,
