,CommitID,Dockerfiles,LatestDockerfile,Comments,Date,FirstCommit Date,Deleted Date,isSATD,DeletedComment Date
784,3d8ea96e0a1a54c995eedbc325df34e163224365,3.8-rc/ubuntu/Dockerfile,3.8-rc/ubuntu/Dockerfile,"# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html
",Mon Nov 11 06:05:18 2019 +0000,Wed Jan 30 13:23:49 2019 +0000,,1,Wed Feb 19 12:05:18 2020 +0000
785,3d8ea96e0a1a54c995eedbc325df34e163224365,3.8-rc/alpine/Dockerfile,3.8-rc/alpine/Dockerfile,"# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html
",Mon Nov 11 06:05:18 2019 +0000,Wed Jan 30 13:23:49 2019 +0000,,1,Wed Feb 19 12:05:18 2020 +0000
775,52e744d86c39bd939aa1d1e7627c555c70e1380b,3.7-rc/ubuntu/Dockerfile,3.7-rc/ubuntu/Dockerfile,"# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html
",Tue Jan 28 12:05:19 2020 +0000,Thu Jan 24 15:19:50 2019 -0800,Fri Aug 14 14:21:54 2020 -0700,1,Tue Jan 28 12:05:19 2020 +0000
774,52e744d86c39bd939aa1d1e7627c555c70e1380b,3.7-rc/alpine/Dockerfile,3.7-rc/alpine/Dockerfile,"# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html
",Tue Jan 28 12:05:19 2020 +0000,Tue Jan 16 09:11:33 2018 -0800,Tue Jan 30 09:15:32 2018 -0800,1,Tue Jan 28 12:05:19 2020 +0000
792,d782d042fc95f8294bc0f69d0ddf5eba19d3cf98,3.8/ubuntu/Dockerfile,3.8/ubuntu/Dockerfile,"# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html
",Fri Apr 10 19:17:36 2020 +0000,Tue Oct 1 08:45:46 2019 -0700,,1,
793,d782d042fc95f8294bc0f69d0ddf5eba19d3cf98,3.8/alpine/Dockerfile,3.8/alpine/Dockerfile,"# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html
",Fri Apr 10 19:17:36 2020 +0000,Tue Oct 1 08:45:46 2019 -0700,,1,
791,064d595490cc5595f50b98cfc801abbbca2b5afd,3.7/alpine/Dockerfile,3.7/alpine/Dockerfile,"# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html
",Tue Mar 19 17:11:33 2019 +0000,Mon Sep 25 12:33:33 2017 -0700,Fri Aug 14 14:21:54 2020 -0700,1,Tue Mar 19 17:11:33 2019 +0000
795,6631b6ca7ec272b35e6f5fc86f5eb34c781846c8,3.7/ubuntu/Dockerfile,3.7/ubuntu/Dockerfile,"# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html
",Tue Jan 15 11:10:59 2019 +0000,Wed Jan 9 13:14:22 2019 +0000,Fri Aug 14 14:21:54 2020 -0700,1,Tue Jan 15 11:10:59 2019 +0000
729,5318927c3a2d0fcdd049178127e05b6b47870e4b,3.7/ubuntu/Dockerfile,3.7/ubuntu/Dockerfile,"# Delete all src dirs to keep the final image size down, they add an extra 19MB
# TODO @dumbbell could this be done better, in the build/install phases?
",Tue Jan 15 15:13:53 2019 +0000,Wed Jan 9 13:14:22 2019 +0000,Fri Aug 14 14:21:54 2020 -0700,1,Tue Mar 19 17:11:33 2019 +0000
247,57831db8b9aaaaeb781f9ad8ea771940297bd6cc,3.7/ubuntu/Dockerfile,3.7/ubuntu/Dockerfile,"# TODO
# Install RabbitMQ
# Ensure RabbitMQ starts & rabbitmqctl works correctly
",Wed Jan 9 17:21:19 2019 +0000,Wed Jan 9 13:14:22 2019 +0000,Fri Aug 14 14:21:54 2020 -0700,1,Wed Sep 11 11:05:21 2019 +0000
