,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,logIndex,DeletedComment Date,Deleted CommitID,Deleted Filename
1163,281978ef87397763e377774740d82c8d87674ae9,2.3/Dockerfile,2.3/jessie/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:43+00:00,2015-12-25 15:46:49+01:00,2019-04-04 13:56:52-07:00,2.3/Dockerfile,2032,2019-04-04 20:56:52+00:00,4d1c8fac056bda0c876688d5caac31c01945b16a,2.3/jessie/Dockerfile
1164,281978ef87397763e377774740d82c8d87674ae9,2.3/alpine/Dockerfile,2.3/alpine3.7/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:43+00:00,2016-01-06 17:14:15+01:00,2019-04-04 13:56:52-07:00,2.3/alpine/Dockerfile,2032,2019-04-04 20:56:52+00:00,4d1c8fac056bda0c876688d5caac31c01945b16a,2.3/alpine3.7/Dockerfile
1161,281978ef87397763e377774740d82c8d87674ae9,2.3/slim/Dockerfile,2.3/jessie/slim/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:43+00:00,2015-12-25 15:46:49+01:00,2019-04-04 13:56:52-07:00,2.3/slim/Dockerfile,2032,2019-04-04 20:56:52+00:00,4d1c8fac056bda0c876688d5caac31c01945b16a,2.3/jessie/slim/Dockerfile
593,c9208def0c430de0144408e16140bd49254c4ca9,2.4-rc/slim/Dockerfile,2.4/buster/slim/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-12-05 20:45:43+00:00,2016-12-05 12:45:43-08:00,2020-04-13 13:55:02-07:00,2.4-rc/slim/Dockerfile,1908,2020-04-13 20:55:02+00:00,96bcb37cc3207ed0f80e39d6471c3d3b37ed36e5,2.4/buster/slim/Dockerfile
1852,98d971fb71e696bf6783388d0e2c4171c97f0459,2.4/stretch/slim/Dockerfile,2.4/stretch/slim/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2017-08-04 19:41:04+00:00,2017-08-04 12:41:04-07:00,2020-04-13 13:55:02-07:00,2.4/stretch/slim/Dockerfile,1571,2020-04-13 20:55:02+00:00,96bcb37cc3207ed0f80e39d6471c3d3b37ed36e5,2.4/stretch/slim/Dockerfile
587,c9208def0c430de0144408e16140bd49254c4ca9,2.4-rc/Dockerfile,2.4/buster/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-12-05 20:45:43+00:00,2016-12-05 12:45:43-08:00,2020-04-13 13:55:02-07:00,2.4-rc/Dockerfile,1908,2020-04-13 20:55:02+00:00,96bcb37cc3207ed0f80e39d6471c3d3b37ed36e5,2.4/buster/Dockerfile
1909,ee2df55c3abd3d0eccea5733f7041b733f8a5a62,2.4/alpine3.7/Dockerfile,2.4/alpine3.11/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2017-12-07 21:06:19+00:00,2017-12-07 21:06:19+00:00,2020-04-13 13:55:02-07:00,2.4/alpine3.7/Dockerfile,1390,2020-04-13 20:55:02+00:00,96bcb37cc3207ed0f80e39d6471c3d3b37ed36e5,2.4/alpine3.11/Dockerfile
1889,a7a74d43ec21a6e589113be56024df083ff320ab,2.4/alpine3.6/Dockerfile,2.4/alpine3.6/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2017-08-04 19:42:25+00:00,2017-08-04 12:42:25-07:00,2018-10-19 14:01:28-07:00,2.4/alpine3.6/Dockerfile,1570,2018-10-19 21:01:28+00:00,0522484eefcb89bcf766277dffcc3003b3ee09f5,2.4/alpine3.6/Dockerfile
1851,98d971fb71e696bf6783388d0e2c4171c97f0459,2.4/stretch/Dockerfile,2.4/stretch/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2017-08-04 19:41:04+00:00,2017-08-04 12:41:04-07:00,2020-04-13 13:55:02-07:00,2.4/stretch/Dockerfile,1571,2020-04-13 20:55:02+00:00,96bcb37cc3207ed0f80e39d6471c3d3b37ed36e5,2.4/stretch/Dockerfile
1910,ee2df55c3abd3d0eccea5733f7041b733f8a5a62,2.5-rc/alpine3.7/Dockerfile,2.5/alpine3.11/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2017-12-07 21:06:19+00:00,2017-12-07 21:06:19+00:00,,2.5-rc/alpine3.7/Dockerfile,1390,,,
1261,53ca276f03918cee2d9db367638be49725e5f152,2.6-rc/stretch/Dockerfile,2.6/stretch/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2018-03-29 11:42:29+00:00,2018-03-29 20:42:29+09:00,,2.6-rc/stretch/Dockerfile,1228,,,
1262,53ca276f03918cee2d9db367638be49725e5f152,2.6-rc/alpine3.7/Dockerfile,2.6/alpine3.11/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2018-03-29 11:42:29+00:00,2018-03-29 20:42:29+09:00,,2.6-rc/alpine3.7/Dockerfile,1228,,,
1869,d85cf42c5541e1827197397412480a61004d089f,Dockerfile.template,Dockerfile-debian.template,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:28+00:00,2016-02-03 12:11:16-08:00,,Dockerfile.template,2041,,,
1877,bb5c7101e13cfa3632dfc21245b172c205d90353,2.6-rc/alpine3.8/Dockerfile,2.6/alpine3.12/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2018-09-13 17:30:25+00:00,2018-09-13 10:30:25-07:00,,2.6-rc/alpine3.8/Dockerfile,997,,,
1868,d85cf42c5541e1827197397412480a61004d089f,Dockerfile-alpine.template,Dockerfile-alpine.template,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2016-09-20 18:41:28+00:00,2016-02-03 12:11:16-08:00,,Dockerfile-alpine.template,2041,,,
