,project,gitPath,CommitID,Deleted CommitID,LatestDockerfile,Comment,CommitDate,DeleteComment,(File) FirstCommit,(File) Deleted,firstCommitからコメント追加までの日数,コメント追加からコメント削除までの日数,追加時ファイル,削除時ファイル,(origin)追加時ファイル,(origin)SATD
148,"docker
docker-ce",https://github.com/docker/docker-ce,736b960e2df15e35aca9abec3ef6a9bc64ead7b3,5e4f4153669d1dbd07f53a9267d5d8677c107b51,components/engine/hack/infrastructure/docker-ci/nightlyrelease/Dockerfile,#### FIXME. Temporarily install docker with proper apparmor handling,2013/10/11 10:29,2013/11/02 05:55,2013/10/11 10:29,2014/03/11 05:20,0 days 00:00:00.000000000,"21 days, 19:26:00",https://github.com/docker/docker-ce/commit/736b960e2df15e35aca9abec3ef6a9bc64ead7b3#diff-3a9df4f644d888a7f84918b1a8e506fa398a292e1a588e21ed6944568c31986fR26,https://github.com/docker/docker-ce/commit/5e4f4153669d1dbd07f53a9267d5d8677c107b51#diff-9b262e6d752e1b0212e6d6dba160967794c01f5ae9d09318e83a9dadd49cdd45L26,,
104,"moby
moby",https://github.com/moby/moby,6e3068700fb32299cf733acd74785e29609b1974,31638ab2ad2a5380d447780f05f7aa078c9421f5,hack/infrastructure/docker-ci/nightlyrelease/Dockerfile,#### FIXME. Temporarily install docker with proper apparmor handling,2013/10/11 10:29,2013/11/02 05:55,2013/10/11 10:29,2014/03/11 05:20,0 days 00:00:00.000000000,"21 days, 19:26:00",https://github.com/moby/moby/commit/6e3068700fb32299cf733acd74785e29609b1974#diff-4467e3db1b818ea16aec663fe4216732c13cf768b8fe85574a0bbc1390daf6d5R26,https://github.com/moby/moby/commit/31638ab2ad2a5380d447780f05f7aa078c9421f5#diff-622802fcaf6b80ac41515339a5a4cab097a4d47cd0fe42755758dfe6876b0418L26,,
374,"tianon
dockerfiles",https://github.com/tianon/dockerfiles,a5d820803f01e2582d45be1b00a2808ede979951,a9323cfaaa5f50ad3c2ab16fb96f98d2e8a237eb,xen-orchestra/Dockerfile,# TODO see note above about redis,2013/11/02 14:34,2014/06/17 08:38,2013/11/02 14:34,,0 days 00:00:00.000000000,"226 days, 18:04:00",https://github.com/tianon/dockerfiles/commit/a5d820803f01e2582d45be1b00a2808ede979951#diff-a5e1353d38c06f94505567e04562484f8d4ebba72f2904624e551fe8a98fe89bR21,https://github.com/tianon/dockerfiles/commit/a9323cfaaa5f50ad3c2ab16fb96f98d2e8a237eb#diff-a5e1353d38c06f94505567e04562484f8d4ebba72f2904624e551fe8a98fe89bL20,,
373,"tianon
dockerfiles",https://github.com/tianon/dockerfiles,a5d820803f01e2582d45be1b00a2808ede979951,a9323cfaaa5f50ad3c2ab16fb96f98d2e8a237eb,xen-orchestra/Dockerfile,# TODO use links to get a redis server/database instead (since that's where configuration actually goes),2013/11/02 14:34,2014/06/17 08:38,2013/11/02 14:34,,0 days 00:00:00.000000000,"226 days, 18:04:00",https://github.com/tianon/dockerfiles/commit/a5d820803f01e2582d45be1b00a2808ede979951#diff-a5e1353d38c06f94505567e04562484f8d4ebba72f2904624e551fe8a98fe89bR18,https://github.com/tianon/dockerfiles/commit/a9323cfaaa5f50ad3c2ab16fb96f98d2e8a237eb#diff-a5e1353d38c06f94505567e04562484f8d4ebba72f2904624e551fe8a98fe89bL17,,
119,"docker
docker-ce",https://github.com/docker/docker-ce,a7fc58e1eb11c1f9c94348203647b59eff438fdf,df82456ed97e08ffa192c1f821acd9315295e7da,components/engine/Dockerfile,# TODO add linux/386 and linux/arm,2013/12/20 03:33,2014/02/01 04:48,2013/07/09 13:30,,163 days 14:03:00.000000000,"43 days, 1:15:00",https://github.com/docker/docker-ce/commit/a7fc58e1eb11c1f9c94348203647b59eff438fdf#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185R46,https://github.com/docker/docker-ce/commit/df82456ed97e08ffa192c1f821acd9315295e7da#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185L72,,
69,"moby
moby",https://github.com/moby/moby,62a81370fffb3cfdb15ef19702f0ea07ab2f4c36,523341d994265b9f72e4869f0fd094fd15f1b480,Dockerfile,# TODO add linux/386 and linux/arm,2013/12/20 03:33,2014/02/01 04:48,2013/07/09 13:30,,163 days 14:03:00.000000000,"43 days, 1:15:00",https://github.com/moby/moby/commit/62a81370fffb3cfdb15ef19702f0ea07ab2f4c36#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R46,https://github.com/moby/moby/commit/523341d994265b9f72e4869f0fd094fd15f1b480#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L72,,
120,"docker
docker-ce",https://github.com/docker/docker-ce,5ca82c401df8f0d035205702e2b6848d6afa3910,d41faf6fe1177b1ca296d996242f1d5ac854955c,components/engine/Dockerfile,# TODO replace FPM with some very minimal debhelper stuff,2013/12/30 15:27,2015/11/13 02:51,2013/07/09 13:30,,174 days 01:57:00.000000000,"682 days, 11:24:00",https://github.com/docker/docker-ce/commit/5ca82c401df8f0d035205702e2b6848d6afa3910#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185R74,https://github.com/docker/docker-ce/commit/d41faf6fe1177b1ca296d996242f1d5ac854955c#diff-a3e40a36d8a31c3425a6c7002b217d41d51782bd42bddb2471e89c082fdd4185L110,,
70,"moby
moby",https://github.com/moby/moby,484a75f3549239d0489cb0ad518d79ed6783584a,8b9856dbd7a1981aaa76fcf0fc10b37d1141c9af,Dockerfile,# TODO replace FPM with some very minimal debhelper stuff,2013/12/30 15:27,2015/11/13 02:51,2013/07/09 13:30,,174 days 01:57:00.000000000,"682 days, 11:24:00",https://github.com/moby/moby/commit/484a75f3549239d0489cb0ad518d79ed6783584a#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557R74,https://github.com/moby/moby/commit/8b9856dbd7a1981aaa76fcf0fc10b37d1141c9af#diff-dd2c0eb6ea5cfc6c4bd4eac30934e2d5746747af48fef6da689e85b752f39557L110,,
98,"moby
moby",https://github.com/moby/moby,eaa9c85511620aa82f1876e1503604f591f00d23,936a03bfddb24cd45f5f12c20a961bf2ae6ede93,docs/Dockerfile,# TODO switch to http://packages.ubuntu.com/trusty/python-sphinxcontrib-httpdomain once trusty is released,2014/01/15 11:23,2014/04/16 09:02,2013/08/30 09:13,2016/10/15 06:12,138 days 02:10:00.000000000,"90 days, 21:39:00",https://github.com/moby/moby/commit/eaa9c85511620aa82f1876e1503604f591f00d23#diff-325270e473e459d8ec894acac997d6558e54f0a9a51de491e81375ab58900de3R7,https://github.com/moby/moby/commit/936a03bfddb24cd45f5f12c20a961bf2ae6ede93#diff-325270e473e459d8ec894acac997d6558e54f0a9a51de491e81375ab58900de3L7,,
155,"docker
docker-ce",https://github.com/docker/docker-ce,0f4b49bea82d2dc2fb6004befdde9f1d380cb527,0bb55ea3f447eb4d411403e0be9a7efecda62087,components/engine/docs/Dockerfile,# TODO switch to http://packages.ubuntu.com/trusty/python-sphinxcontrib-httpdomain once trusty is released,2014/01/15 11:23,2014/04/16 09:02,2013/08/30 09:13,2016/10/15 06:12,138 days 02:10:00.000000000,"90 days, 21:39:00",https://github.com/docker/docker-ce/commit/0f4b49bea82d2dc2fb6004befdde9f1d380cb527#diff-6352245088f20ce067ab25e62a0adda0063e8f8253039791b323a755281cf9f4R7,https://github.com/docker/docker-ce/commit/0bb55ea3f447eb4d411403e0be9a7efecda62087#diff-6352245088f20ce067ab25e62a0adda0063e8f8253039791b323a755281cf9f4L7,,
