,project,Comment
0,"docker-library
rabbitmq","# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html
"
28,"docker-library
ruby","# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir
"
88,"moby
moby","# TODO: Some of this is only really needed for testing, it would be nice to split this up
"
95,"moby
moby","# Install go-swagger for validating swagger.yaml
# This is https://github.com/kolyshkin/go-swagger/tree/golang-1.13-fix
# TODO: move to under moby/ or fix upstream go-swagger to work for us.
"
96,"moby
moby","# TODO: This is here because hack/make.sh binary copies these extras binaries
# from $PATH into the bundles dir.
# It would be nice to handle this in a different way.
"
97,"moby
moby","# Switch to use iptables instead of nftables (to match the CI hosts)
# TODO use some kind of runtime auto-detection instead if/when nftables is supported (https://github.com/moby/moby/issues/26824)
"
146,"docker
docker-ce","# TODO: Some of this is only really needed for testing, it would be nice to split this up
"
153,"docker
docker-ce","# Install go-swagger for validating swagger.yaml
# This is https://github.com/kolyshkin/go-swagger/tree/golang-1.13-fix
# TODO: move to under moby/ or fix upstream go-swagger to work for us.
"
154,"docker
docker-ce","# TODO: This is here because hack/make.sh binary copies these extras binaries
# from $PATH into the bundles dir.
# It would be nice to handle this in a different way.
"
155,"docker
docker-ce","# Switch to use iptables instead of nftables (to match the CI hosts)
# TODO use some kind of runtime auto-detection instead if/when nftables is supported (https://github.com/moby/moby/issues/26824)
"
173,"docker
docker-ce","# docker-init - TODO move this out, last time we bumped was 2016!
"
174,"docker
docker-ce","# docker-proxy
# TODO if libnetwork folds into the docker tree this can be combined above
"
175,"docker
docker-ce","# TODO The way we set the version could easily be simplified not to depend on hack/...
"
176,"docker
docker-ce","#COPY hack/dockerfile/binaries-commits /

"
180,"docker-library
redis","# TODO https://github.com/redis/redis/pull/3494 (deduplicate ""redis-server"" copies)
"
199,"docker
compose","# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed
"
216,"docker-library
tomcat","# TODO there's an odd bug on Oracle Linux where installing ""cpp"" (which gets pulled in as a dependency of ""gcc"") and then marking it as automatically-installed will result in the ""filesystem"" package being removed during ""yum autoremove"" (which then fails), so we set it as manually-installed to compensate
"
248,"zendtech
php-zendserver-docker","#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server
"
266,"docker-library
memcached","# TODO https://github.com/memcached/memcached/issues/382 ""t/chunked-extstore.t is flaky on arm32v6""
"
268,"therealprologic
docker-crux","# Creates an image to build the CRUX filesystem

# TODO: Once bootstrapped, use 'crux:latest'
"
269,"docker-library
docs","# TODO find a way to make --verify work with backpan as well :'(
#ENV PERL_CPANM_OPT $PERL_CPANM_OPT --verify

# reinstall cpanm itself, for good measure
"
270,"docker-library
docs","# TODO find a way to make --mirror-only / SSL work with backpan too :(
"
280,"openliberty
ci.docker","#These settings are needed so that we can run as a different user than 1001 after server warmup
# TODO: Eventually convert this to OPENJ9_JAVA_OPTIONS once the Liberty server script honors it
"
281,"openliberty
ci.docker","# These settings are needed so that we can run as a different user than 1001 after server warmup
# TODO: Eventually convert this to OPENJ9_JAVA_OPTIONS once the Liberty server script honors it
"
290,"cruxlinux
docker-crux","# Creates an image to build the CRUX filesystem

# TODO: Once bootstrapped, use 'crux:latest'
"
291,"docker-library
pypy","# TODO rebuild other cffi modules here too? (other _*_build.py files)
"
304,"hashicorp
docker-vault","# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.
"
320,"docker-library
postgres","# https://github.com/docker-library/postgres/issues/484 (clang-6.0 required, only available in stretch-backports)
# TODO remove this once we hit buster+
"
332,"wikimedia
mediawiki-docker","	# Extensions
	# TODO: make submodules shallow clones?
"
334,"hashicorp
docker-consul","# By default you'll get an insecure single-node development server that stores
# everything in RAM, exposes a web UI and HTTP endpoints, and bootstraps itself.
# Don't use this configuration for production.
"
344,"docker-library
gcc","# TODO for some reason, libgo + i386 fails on https://github.com/gcc-mirror/gcc/blob/gcc-7_1_0-release/libgo/runtime/proc.c#L154
# ""error unknown case for SETCONTEXT_CLOBBERS_TLS""
"
